Haleluya! Pujilah Allah dalam tempat kudus-Nya! Pujilah Dia dalam cakrawala-Nya yang kuat!	Molja’agi PANGERAN! Molja’agi Pangeran e dhalem Padalemmanna! Molja’agi kakowadanna e bang-abang!
Engkau akan mengeluarkan aku dari jaring yang dipasang orang terhadap aku, sebab Engkaulah tempat perlindunganku.	Palopottagi abdidalem dhari jebbak se epasang oreng, sabab namong Junandalem kennengnganna abdidalem nyare pangaoban.
Ke dalam tangan-Mulah kuserahkan nyawaku; Engkau membebaskan aku, ya TUHAN, Allah yang setia.	Ka dhalem astana Junandalem abdidalem massra’agi aba’ ka’dhinto; Junandalem masalamet abdidalem, Guste PANGERAN, Allah se esto.
Engkau benci kepada orang-orang yang memuja berhala yang sia-sia, tetapi aku percaya kepada TUHAN.	Junandalem baji’ ka oreng se nyemba brahala, namong abdidalem parcaja ka Junandalem, GUSTE.
Aku akan bersorak-sorak dan bersukacita karena kasih setia-Mu, sebab Engkau telah menilik sengsaraku, telah memperhatikan kesesakan jiwaku,	Abdidalem perak sareng gumbira, sabab Junandalem paggun taresna ka abdidalem. Junandalem ngoladi kasangsara’an abdidalem, sareng ngagali ka kasossa’an abdidalem.
dan tidak menyerahkan aku ke tangan musuh, tetapi menegakkan kakiku di tempat yang lapang.	Junandalem ta’ ngedine abdidalem etawan moso, Junandalem marenge jalan kantos abdidalem kengeng ajalan sanyamanna.
Kasihanilah aku, ya TUHAN, sebab aku merasa sesak; karena sakit hati mengidaplah mataku, meranalah jiwa dan tubuhku.	Kaneserre abdidalem, GUSTE, sabab abdidalem sossa e dhalem ate; mata abdidalem peddi kabannya’an nanges, sokma sareng badan nyandhang sangsara.
Sebab hidupku habis dalam duka dan tahun-tahun umurku dalam keluh kesah; kekuatanku merosot karena sengsaraku, dan tulang-tulangku menjadi lemah.	Abdidalem ta’ gadhuwan kakowadan lantaran kasossa’an, omor abdidalem pandha’ lantaran nanges ros-terrosan. Abdidalem lempo lantaran kajahadan, kantos lang-tolang daddi alpo’ sadajana.
Di hadapan semua lawanku aku tercela, menakutkan bagi tetangga-tetanggaku, dan menjadi kekejutan bagi kenalan-kenalanku; mereka yang melihat aku di jalan lari dari padaku.	Abdidalem ekala’-gella’ sareng moso la’-mala’ jugan sareng tatangga tepparo. Sadajana kennalan takerjat manabi nengale abdidalem, padha buru manabi tatemmo sareng nengale abdidalem e lorong.
Aku telah hilang dari ingatan seperti orang mati, telah menjadi seperti barang yang pecah.	Abdidalem ta’ ekaenga’e oreng akadi oreng se ampon mate, sareng daddi barang buwangan.
Sebab aku mendengar banyak orang berbisik-bisik, ada kegentaran dari segala pihak! mereka bersama-sama bermufakat mencelakakan aku, mereka bermaksud mencabut nyawaku.	E man-ka’dhimman badha barang se nako’e; abdidalem mereng san-rasanna moso. So-moso abdidalem asakongkel asajja padha mateyana abdidalem.
Tetapi aku, kepada-Mu aku percaya, ya TUHAN, aku berkata: "Engkaulah Allahku!"	Namong abdidalem ngarep partolongan dhari Junandalem, Guste PANGERAN, sabab Junandalem Allah abdidalem.
Masa hidupku ada dalam tangan-Mu, lepaskanlah aku dari tangan musuh-musuhku dan orang-orang yang mengejar aku!	Sareng Junandalem abdidalem epeyara terros; nyo’ona salamet abdidalem dhari sadajana moso, sareng dhari reng-oreng se nyerser abdidalem.
Buatlah wajah-Mu bercahaya atas hamba-Mu, selamatkanlah aku oleh kasih setia-Mu!	Moga Junandalem kasokana ka abdidalem; nyo’ona salamet abdidalem, GUSTE, lantaran kataresna’annepon Junandalem.
TUHAN, janganlah membiarkan aku mendapat malu, sebab aku berseru kepada-Mu; biarlah orang-orang fasik mendapat malu dan turun ke dunia orang mati dan bungkam.	Ja’ kantos abdidalem malo, GUSTE, sabab abdidalem aserro ka Junandalem. Diggal oreng jahat me’ olle nanggung malo, sareng tadha’ kasa’na maso’ ka alam maot.
Biarlah bibir dusta menjadi kelu, yang mencaci maki orang benar dengan kecongkakan dan penghinaan!	Dunggemmagi colo’epon reng-oreng se dujan co-ngoco, se nye-ngenye oreng jujur lantaran sombong.
Alangkah limpahnya kebaikan-Mu yang telah Kausimpan bagi orang yang takut akan Engkau, yang telah Kaulakukan bagi orang yang berlindung pada-Mu, di hadapan manusia!	Saponapa bannya’na kasaeyannepon Junandalem se esadhiya’agi ka oreng se abakte ka Junandalem! Saneyap oreng nengale kabecce’an se elampa’agi Junandalem ka reng-oreng se ngaop ka Junandalem sareng se parcaja ka Junandalem.
Engkau menyembunyikan mereka dalam naungan wajah-Mu terhadap persekongkolan orang-orang; Engkau melindungi mereka dalam pondok terhadap perbantahan lidah.	Junandalem ngerrep reng-oreng gapaneka, epaaman e dhalem pangaobannepon Junandalem, sopaja lopoda dhari kobasaepon reng-oreng se asakongkel asajja juba’; sareng Junandalem ejaga sopaja salamedda dhari da’wa’annepon mosona.
Terpujilah TUHAN, sebab kasih setia-Nya ditunjukkan-Nya kepadaku dengan ajaib pada waktu kesesakan!	Molja PANGERAN! Kataresna’anna ka sengko’ tadha’ bandhinganna, e bakto sengko’ ekeppong ban eserrang.
Aku menyangka dalam kebingunganku: "Aku telah terbuang dari hadapan mata-Mu." Tetapi sesungguhnya Engkau mendengarkan suara permohonanku, ketika aku berteriak kepada-Mu minta tolong.	E bakto sengko’ kabingongan sengko’ nyangka tang aba’ la ebuwang bi’ PANGERAN dhari ajunanna. Tape Salerana meyarsa tang parnyo’onan, e bakto sengko’ aserro nyo’on partolongan.
Kasihilah TUHAN, hai semua orang yang dikasihi-Nya! TUHAN menjaga orang-orang yang setiawan, tetapi orang-orang yang berbuat congkak diganjar-Nya dengan tidak tanggung-tanggung.	Taresnae PANGERAN, he sakabbinna ommadda, PANGERAN nolong ban ngaobi oreng se esto. Tape ta’ gung-tanggung ngokom oreng se angga’.
Kuatkanlah dan teguhkanlah hatimu, hai semua orang yang berharap kepada TUHAN!	Ba’na kabbi se ngarep ka PANGERAN, mara padha pakowat ban pakoko atena!
Mazmur. Nyanyian untuk pentahbisan Bait Suci. Dari Daud. Aku akan memuji Engkau, ya TUHAN, sebab Engkau telah menarik aku ke atas, dan tidak memberi musuh-musuhku bersukacita atas aku.	Jaburra Daud. Nyanyeyan kaangguy aresmeyagi Padalemman Socce. Abdidalem ngagungngagi Junandalem, GUSTE, sabab Junandalem ampon masalamet abdidalem; Junandalem ta’ ngedine abdidalem erak-sorak moso.
TUHAN, Allahku, kepada-Mu aku berteriak minta tolong, dan Engkau telah menyembuhkan aku.	Guste ALLAH, Pangeran kaula, abdidalem aserro nyo’on tolong ka Junandalem, Junandalem laju mabaras abdidalem.
TUHAN, Engkau mengangkat aku dari dunia orang mati, Engkau menghidupkan aku di antara mereka yang turun ke liang kubur.	Junandalem malopot abdidalem dhari alam maot, maodhi’ abdidalem dhari antarana reng-oreng mate.
Nyanyikanlah mazmur bagi TUHAN, hai orang-orang yang dikasihi-Nya, dan persembahkanlah syukur kepada nama-Nya yang kudus!	Mara anyanye ji-moji PANGERAN, he ommadda se esto! Mara asokkor ka Se Mahasocce.
Sebab sesaat saja Ia murka, tetapi seumur hidup Ia murah hati; sepanjang malam ada tangisan, menjelang pagi terdengar sorak-sorai.	Sabab pera’ sakejja’ dukana PANGERAN, kabecce’anna ros-terrosan saomorra. E baja malem sengko’ nanges, tape pajjar dhateng maperak ate.
Dalam kesenanganku aku berkata: "Aku takkan goyah untuk selama-lamanya!"	E bakto arassa aman abdidalem ngoca’, "Sengko’ ta’ ekenneng pakala!"
TUHAN, oleh karena Engkau berkenan, Engkau telah menempatkan aku di atas gunung yang kokoh; ketika Engkau menyembunyikan wajah-Mu, aku terkejut.	Sabab Junandalem sae ka abdidalem, GUSTE, abdidalem sareng Junandalem epakowat akadi gunong se koko. Namong saamponna Junandalem laju ta’ ngaton, abdidalem laju daddi tako’.
Kepada-Mu, ya TUHAN, aku berseru, dan kepada Tuhanku aku memohon:	Ka Junandalem, GUSTE, abdidalem aserro, ka Junandalem abdidalem nyo’on,
"Apakah untungnya kalau darahku tertumpah, kalau aku turun ke dalam lobang kubur? Dapatkah debu bersyukur kepada-Mu dan memberitakan kesetiaan-Mu?	"Ponapa gunana ka Junandalem manabi abdidalem mate sareng toron ka lobangngepon koburan? Sabab oreng mate ta’ kera ngagungngagi Junandalem sareng ta’ kera aberta’agi kaestowannepon Junandalem.
Dengarlah, TUHAN, dan kasihanilah aku, TUHAN, jadilah penolongku!"	Peyarsa’agi, GUSTE, sareng kabellasi abdidalem ka’dhinto, abdidalem nyo’ona tolong!"
Aku yang meratap telah Kauubah menjadi orang yang menari-nari, kain kabungku telah Kaubuka, pinggangku Kauikat dengan sukacita,	Tanges abdidalem sareng Junandalem eoba epadaddi tari se gumbira, kasossa’an abdidalem epatadha’ egante’e kasennengngan se talebat rajana.
Supaya jiwaku menyanyikan mazmur bagi-Mu dan jangan berdiam diri. TUHAN, Allahku, untuk selama-lamanya aku mau menyanyikan syukur bagi-Mu.	Daddi abdidalem ta’ poron neng-enneng; abdidalem anyanye ngagungngagi Junandalem, Guste ALLAH, Pangeran kaula, sareng asokkor ka Junandalem salanjangnga!
Mazmur Daud. Kepada TUHAN, hai penghuni sorgawi, kepada TUHAN sajalah kemuliaan dan kekuatan!	Jaburra Daud. He lok-mahlok sowarga, molja’agi PANGERAN, molja’agi kaagungan ban kobasana.
Berilah kepada TUHAN kemuliaan nama-Nya, sujudlah kepada TUHAN dengan berhiaskan kekudusan!	Molja’agi asmana PANGERAN se molja, semba Salerana sambi ngangguy kalambi kabakteyan.
Suara TUHAN di atas air, Allah yang mulia mengguntur, TUHAN di atas air yang besar.	Allah se agung asowara akantha galudhuk e attas tase’, sowarana metto ro-sarowan e attassa tase’ raja.
Suara TUHAN penuh kekuatan, suara TUHAN penuh semarak.	Sowarana PANGERAN ekaedhing agandhu’ kakowadan ban kobasa.
Suara TUHAN mematahkan pohon aras, bahkan, TUHAN menumbangkan pohon aras Libanon.	Sowarana PANGERAN magujur ka’-bungka’an, masempal bungkana comara Libanon.
Ia membuat gunung Libanon melompat-lompat seperti anak lembu, dan gunung Siryon seperti anak banteng.	Ngedhing sowara jareya Gunong Libanon sampe’ alonca’ akantha budhu’na sape, Gunong Siriyon abintal akantha budhu’na banteng.
Suara TUHAN menyemburkan nyala api.	Sowarana PANGERAN andaddiyagi kelap ngareddhap.
Suara TUHAN membuat padang gurun gemetar, TUHAN membuat padang gurun Kadesh gemetar.	Sowarana PANGERAN magundhek ra-ara beddhi, PANGERAN magundhek ra-ara beddhi Kades.
Suara TUHAN membuat beranak rusa betina yang mengandung, bahkan, hutan digundulinya; dan di dalam bait-Nya setiap orang berseru: "Hormat!"	Sowarana PANGERAN maguli ka-bungkana berrangan, maronto un-dhaunan e dhalem alas, sabatara e Padalemman Socce ommat ra’-era’an, "Molja’agi Pangeran!"
TUHAN bersemayam di atas air bah, TUHAN bersemayam sebagai Raja untuk selama-lamanya.	PANGERAN kobasa ka ba’a, kobasa menangka Rato salanjangnga.
TUHAN kiranya memberikan kekuatan kepada umat-Nya, TUHAN kiranya memberkati umat-Nya dengan sejahtera!	Moga PANGERAN marengana kakowadan ka ommadda, ban mataremtem sarta manyaman odhi’na.
Dari Daud. Kepada-Mu, ya TUHAN, gunung batuku, aku berseru, janganlah berdiam diri terhadap aku, sebab, jika Engkau tetap membisu terhadap aku, aku menjadi seperti orang yang turun ke dalam liang kubur.	Jaburra Daud. Adhu GUSTE, abdidalem aserro ka Junandalem, Junandalem se abilla abdidalem, peyarsa’agi serrona abdidalem. Manabi Junandalem mendel, abdidalem akadi oreng se toron ka lobangnga koburan.
Dengarkanlah suara permohonanku, apabila aku berteriak kepada-Mu minta tolong, dan mengangkat tanganku ke arah tempat-Mu yang maha kudus.	Peyarsa’agi parnyo’onan abdidalem manabi abdidalem aera’ nyo’on partolongan, sareng ngangka’ tanang abdidalem epangadhep ka Padalemmannepon Junandalem se socce.
Janganlah menyeret aku bersama-sama dengan orang fasik ataupun dengan orang yang melakukan kejahatan, yang ramah dengan teman-temannya, tetapi yang hatinya penuh kejahatan.	Abdidalem ja’ patompes pasareng oreng se daraka, ja’ okom pasareng oreng se jahat odhi’na. Reng-oreng gapaneka manes cacana, namong atena bucco’.
Ganjarilah mereka menurut perbuatan mereka dan menurut kelakuan mereka yang jahat; ganjarilah mereka setimpal dengan perbuatan tangan mereka, balaslah kepada mereka apa yang mereka lakukan.	Okom reng-oreng gapaneka lantaran tengkana, menorot kajahadanna. Parenge okoman menorot sadaja se elakone; satembang sareng kajahadan se ejalane.
Karena mereka tidak mengindahkan pekerjaan TUHAN dan perbuatan tangan-Nya; Ia akan menjatuhkan mereka dan tidak membangunkan mereka lagi.	Reng-oreng jareya ta’ marduli sabarang se elampa’agi PANGERAN, otaba sabarang se ebadhi Salerana. Daddi bi’ PANGERAN tanto eparenge okoman, ban reng-oreng jareya epatompes salanjangnga.
Terpujilah TUHAN, karena Ia telah mendengar suara permohonanku.	Molja PANGERAN, sabab Salerana la meyarsa tang parnyo’onan.
TUHAN adalah kekuatanku dan perisaiku; kepada-Nya hatiku percaya. Aku tertolong sebab itu beria-ria hatiku, dan dengan nyanyianku aku bersyukur kepada-Nya.	PANGERAN tang pangaoban ban panyalamet sengko’, sengko’ parcaja ka Salerana. Sengko’ epaperak ban etolong, sengko’ ngagungngagi Salerana, anyanye lagu asokkor.
TUHAN adalah kekuatan umat-Nya dan benteng keselamatan bagi orang yang diurapi-Nya!	PANGERAN apareng kakowadan ka ommadda, abilla ban masalamet rato peleyanna.
Selamatkanlah kiranya umat-Mu dan berkatilah milik-Mu sendiri, gembalakanlah mereka dan dukunglah mereka untuk selama-lamanya.	Parenge salamet ommattepon Junandalem, GUSTE, berkadi reng-oreng kaagungannepon Junandalem. Kasokana Junandalem daddi se ngowan monggu ka reng-oreng gapaneka, kasokana ajaga sadajana kaangguy salanjangnga.
Dari Daud. TUHAN adalah terangku dan keselamatanku, kepada siapakah aku harus takut? TUHAN adalah benteng hidupku, terhadap siapakah aku harus gemetar?	Jaburra Daud. PANGERAN reya tang sonar ban tang kasalameddan, apa se ekatako’e sengko’! PANGERAN reya binteng se ngaobi sengko’, sengko’ ta’ kera tako’ pa-apa.
Ketika penjahat-penjahat menyerang aku untuk memakan dagingku, yakni semua lawanku dan musuhku, mereka sendirilah yang tergelincir dan jatuh.	Mon badha oreng jahat se mateyana sengko’, oreng jareya dibi’ se tatandhung, laju labu.
Sekalipun tentara berkemah mengepung aku, tidak takut hatiku; sekalipun timbul peperangan melawan aku, dalam hal itupun aku tetap percaya.	Maske sengko’ ekeppong pasukanna moso sabannya’na, sengko’ ta’ kera tako’. Maske badha perrang, sengko’ se eserrang, tang pangarep ta’ kera elang.
Satu hal telah kuminta kepada TUHAN, itulah yang kuingini: diam di rumah TUHAN seumur hidupku, menyaksikan kemurahan TUHAN dan menikmati bait-Nya.	Pera’ settong tang parnyo’onan ka PANGERAN, pera’ reya tang pangaterro, tadha’ laenna: terro ennengnga e Padalemman Socce saomorra, sopaja bisa’a arassa’agi kasaeyanna PANGERAN, sarta nyo’on petoduna.
Sebab Ia melindungi aku dalam pondok-Nya pada waktu bahaya; Ia menyembunyikan aku dalam persembunyian di kemah-Nya, Ia mengangkat aku ke atas gunung batu.	PANGERAN ngaobi sengko’ e dhalem karekongan; sengko’ eerrep e Padalemmanna, ban eangka’ ka gunong bato se tenggi.
Maka sekarang tegaklah kepalaku, mengatasi musuhku sekeliling aku; dalam kemah-Nya aku mau mempersembahkan korban dengan sorak-sorai; aku mau menyanyi dan bermazmur bagi TUHAN.	Sateya sengko’ mennang ka moso e sabingkerra tang aba’, daddi sengko’ ngatorragi kurban sokkor e Padalemmanna; sambi asorak gumbira sengko’ anyanye mojiya PANGERAN.
Dengarlah, TUHAN, seruan yang kusampaikan, kasihanilah aku dan jawablah aku!	Manabi abdidalem aserro ka Junandalem, peyarsa’agi, GUSTE, kabellasi abdidalem, saodi abdidalem!
Hatiku mengikuti firman-Mu: "Carilah wajah-Ku"; maka wajah-Mu kucari, ya TUHAN.	Junandalem adhabu, "Mara dha’ enna’ nyemba ka Sengko’." Abdidalem nyaot, "Abdidalem nyabisa, GUSTE;
Janganlah menyembunyikan wajah-Mu kepadaku, janganlah menolak hamba-Mu ini dengan murka; Engkaulah pertolonganku, janganlah membuang aku dan janganlah meninggalkan aku, ya Allah penyelamatku!	Junandalem ja’ ngetek dhari abdidalem, GUSTE." Junandalem ja’ duka, abdidalem ja’ tolak, sabab Junandalem se ampon nolong abdidalem. Ya Allah, Junandalem panyalamet abdidalem; abdidalem ja’ dinggallagi, abdidalem ja’ buwangngagi.
Sekalipun ayahku dan ibuku meninggalkan aku, namun TUHAN menyambut aku.	Maske rama ebu adinggallagi sengko’, ALLAH paggun meyara sengko’ terros.
Tunjukkanlah jalan-Mu kepadaku, ya TUHAN, dan tuntunlah aku di jalan yang rata oleh sebab seteruku.	Dhabuwagi ponapa kasokannepon Junandalem, GUSTE, tontonnagi abdidalem e jalan se loros, sabab moso abdidalem ta’ sakone’.
Janganlah menyerahkan aku kepada nafsu lawanku, sebab telah bangkit menyerang aku saksi-saksi dusta, dan orang-orang yang bernafaskan kelaliman.	Abdidalem ja’ passra’agi ka napsoepon moso, se nyerrang abdidalem ngangguy caca se lecek sambi ngara sareng ko’-nako’e.
Sesungguhnya, aku percaya akan melihat kebaikan TUHAN di negeri orang-orang yang hidup!	Sengko’ yakin bakal ngalamana kabecce’anna PANGERAN e dhalem tang odhi’ e dunnya reya.
Nantikanlah TUHAN! Kuatkanlah dan teguhkanlah hatimu! Ya, nantikanlah TUHAN!	Mara arep partolonganna PANGERAN, pakowat ban pakoko atena. Onggu, mara arep partolonganna PANGERAN.
Dari Daud. Berilah keadilan kepadaku, ya TUHAN, sebab aku telah hidup dalam ketulusan; kepada TUHAN aku percaya dengan tidak ragu-ragu.	Jaburra Daud. Parenge abdidalem kaadilan, GUSTE, sabab ate abdidalem berse. Junandalem se earep abdidalem, ate abdidalem ta’ mangmang sakale.
Ujilah aku, ya TUHAN, dan cobalah aku; selidikilah batinku dan hatiku.	Ngereng talektegi sareng oji abdidalem, GUSTE, pareksa pangaterro sareng pekkeran abdidalem.
Sebab mataku tertuju pada kasih setia-Mu, dan aku hidup dalam kebenaran-Mu.	Abdidalem emot terros ka kataresna’annepon Junandalem, sareng teptep esto ka Junandalem.
Aku tidak duduk dengan penipu, dan dengan orang munafik aku tidak bergaul;	Abdidalem ta’ poron akompol sareng tokang tepo, otabana akanca sareng oreng se monafik.
aku benci kepada perkumpulan orang yang berbuat jahat, dan dengan orang fasik aku tidak duduk.	Abdidalem baji’ ka kompolannepon oreng se jahat, abdidalem ajauwi oreng se tengkana juba’.
Aku membasuh tanganku tanda tak bersalah, lalu berjalan mengelilingi mezbah-Mu, ya TUHAN,	Abdidalem maccowe tanang partandha ta’ sala, pas ajalan ngalenglenge mezbaepon Junandalem, GUSTE,
sambil memperdengarkan nyanyian syukur dengan nyaring, dan menceritakan segala perbuatan-Mu yang ajaib.	sambi anyanye lagu sokkor, sareng aberta’agi sadaja se elampa’agi Junandalem se makasambu’ ate.
TUHAN, aku cinta pada rumah kediaman-Mu dan pada tempat kemuliaan-Mu bersemayam.	Abdidalem taresna ka dalemmepon Junandalem, GUSTE, se ekalenggi’i Junandalem kalaban agung.
Janganlah mencabut nyawaku bersama-sama orang berdosa, atau hidupku bersama-sama orang penumpah darah,	Abdidalem ja’ pate’e asareng oreng se dusa, nyaba abdidalem ja’ cabut epasareng tokang jagalla manossa.
yang pada tangannya melekat perbuatan mesum, dan yang tangan kanannya menerima suapan.	Reng-oreng gapaneka alako jahat ros-terrosan, ros-terrosan asadhiya narema pesse go’-sogo’.
Tetapi aku ini hidup dalam ketulusan; bebaskanlah aku dan kasihanilah aku.	Namong abdidalem jujur sareng berse e dhalem ate, kaneserre abdidalem, sareng bebassagi, Guste.
Kakiku berdiri di tanah yang rata; aku mau memuji TUHAN dalam jemaah.	Daddi sengko’ aman dhari babaja, sengko’ mojiya PANGERAN e dhalem kompolanna ommadda.
Dari Daud. Kepada-Mu, ya TUHAN, kuangkat jiwaku;	Jaburra Daud. Ka Junandalem, GUSTE, abdidalem ngatorragi du’a,
Allahku, kepada-Mu aku percaya; janganlah kiranya aku mendapat malu; janganlah musuh-musuhku beria-ria atas aku.	Ya Allah, abdidalem parcaja ka Junandalem! Ja’ kantos abdidalem epamalo, sareng esorak moso.
Ya, semua orang yang menantikan Engkau takkan mendapat malu; yang mendapat malu ialah mereka yang berbuat khianat dengan tidak ada alasannya.	Oreng se akiyanat ka Junandalem tanto epabirang, namong se parcaja ka Junandalem ta’ kera epakoceba.
Beritahukanlah jalan-jalan-Mu kepadaku, ya TUHAN, tunjukkanlah itu kepadaku.	Duduwagi ka abdidalem, GUSTE, ponapa se daddi kasokannepon Junandalem, parenge oneng ponapa se kodu elakone abdidalem.
Bawalah aku berjalan dalam kebenaran-Mu dan ajarlah aku, sebab Engkaulah Allah yang menyelamatkan aku, Engkau kunanti-nantikan sepanjang hari.	Ngereng ajari sareng tonton abdidalem, sopaja odhi’ menorot kasokannepon Junandalem, sabab Junandalem Allah se masalamet abdidalem, abdidalem salanjangnga ngarep ka Junandalem.
Ingatlah segala rahmat-Mu dan kasih setia-Mu, ya TUHAN, sebab semuanya itu sudah ada sejak purbakala.	Kaemodi kabecce’an sareng kataresna’annepon Junandalem, GUSTE, se eduduwagi Junandalem ngabidi gi’ dhimen.
Dosa-dosaku pada waktu muda dan pelanggaran-pelanggaranku janganlah Kauingat, tetapi ingatlah kepadaku sesuai dengan kasih setia-Mu, oleh karena kebaikan-Mu, ya TUHAN.	Parenge sapora dusa sareng kasala’an abdidalem gi’ ngodhana, kaemodi abdidalem menorot kataresna’an sareng kasaeyannepon Junandalem.
TUHAN itu baik dan benar; sebab itu Ia menunjukkan jalan kepada orang yang sesat.	Sabab PANGERAN reya sae ban adil, noduwagi jalan ka oreng se posang.
Ia membimbing orang-orang yang rendah hati menurut hukum, dan Ia mengajarkan jalan-Nya kepada orang-orang yang rendah hati.	PANGERAN nonton oreng se andhap asor, ngajarragi apa se daddi kasokanna ka reng-oreng jareya.
Segala jalan TUHAN adalah kasih setia dan kebenaran bagi orang yang berpegang pada perjanjian-Nya dan peringatan-peringatan-Nya.	Oreng se ta’at ka parjanjiyan ban hokomma ekataresnae ban ekaestowe.
Oleh karena nama-Mu, ya TUHAN, ampunilah kesalahanku, sebab besar kesalahan itu.	GUSTE, parenge sapora abdidalem, menorot janjiepon Junandalem, sabab ce’ rajana kasala’an abdidalem.
Siapakah orang yang takut akan TUHAN? Kepadanya TUHAN menunjukkan jalan yang harus dipilihnya.	PANGERAN ngajarragi ka oreng se ta’at jalan se kodu elebadi.
Orang itu sendiri akan menetap dalam kebahagiaan dan anak cucunya akan mewarisi bumi.	Reng-oreng jareya bakal teptebba ma’mor odhi’na, na’ potona bakal abarisana tana sangkolan.
TUHAN bergaul karib dengan orang yang takut akan Dia, dan perjanjian-Nya diberitahukan-Nya kepada mereka.	PANGERAN reya sahabadda oreng se ta’at, Salerana anyata’agi kasokanna ka reng-oreng jareya.
Mataku tetap terarah kepada TUHAN, sebab Ia mengeluarkan kakiku dari jaring.	Tang mata teptep mandeng ka PANGERAN, sabab Salerana se masalamet sengko’ dhari babaja.
Berpalinglah kepadaku dan kasihanilah aku, sebab aku sebatang kara dan tertindas.	Oladi abdidalem, kabellasi abdidalem, GUSTE, sabab abdidalem kadibi’an sareng ta’ gadhuwan kakowadan.
Lapangkanlah hatiku yang sesak dan keluarkanlah aku dari kesulitanku!	Kasossa’an abdidalem sajan atamba, bebassagi abdidalem dhari karekongan.
Tiliklah sengsaraku dan kesukaranku, dan ampunilah segala dosaku.	Oladi kasangsara’an sareng kamalaradan abdidalem, parenge sapora sadajana dusa abdidalem.
Lihatlah, betapa banyaknya musuhku, dan bagaimana mereka membenci aku dengan sangat mendalam.	Oladi saponapa bannya’epon moso abdidalem; sadaja padha baji’ ka abdidalem.
Jagalah kiranya jiwaku dan lepaskanlah aku; janganlah aku mendapat malu, sebab aku berlindung pada-Mu.	Jaga’agi sareng pasalamettagi abdidalem, sopaja abdidalem ta’ nanggung malo, sabab abdidalem ngaop ka Junandalem.
Ketulusan dan kejujuran kiranya mengawal aku, sebab aku menanti-nantikan Engkau.	Moga kabecce’an sareng kajujuran ngerenge abdidalem, sabab Junandalem se earep abdidalem.
Ya Allah, bebaskanlah orang Israel dari segala kesesakannya!	Ya Allah, bebassagi ommattepon Junandalem dhari sadajana karekongannepon.
Mazmur Daud. Tuhanlah yang empunya bumi serta segala isinya, dan dunia serta yang diam di dalamnya.	Jaburra Daud. Kaagunganna PANGERAN bume ban saessena, dunnya ban mahlok se enneng e dhalemmanna.
Sebab Dialah yang mendasarkannya di atas lautan dan menegakkannya di atas sungai-sungai.	Pangeran se masang dhasarra e attassa tase’ raja, epamanjeng e attassa aeng se dhalem.
"Siapakah yang boleh naik ke atas gunung TUHAN? Siapakah yang boleh berdiri di tempat-Nya yang kudus?"	Sapa se olle ongga ka Gumo’na PANGERAN, se olle maso’ ka Dalemma?
"Orang yang bersih tangannya dan murni hatinya, yang tidak menyerahkan dirinya kepada penipuan, dan yang tidak bersumpah palsu.	Oreng se tadha’ calena pekkeran ban tengka gulina, se ta’ asompa palsu ban ta’ nyemba brahala.
Dialah yang akan menerima berkat dari TUHAN dan keadilan dari Allah yang menyelamatkan dia.	Oreng jareya se bakal eberkadana ban epasalamedda bi’ PANGERAN, ban enyata’agiya ta’ sala bi’ Allah.
Itulah angkatan orang-orang yang menanyakan Dia, yang mencari wajah-Mu, ya Allah Yakub." Sela	Kantha jareya oreng ngadhep ka Allah, se entar nyemba ka Allahna Yakub.
Angkatlah kepalamu, hai pintu-pintu gerbang, dan terangkatlah kamu, hai pintu-pintu yang berabad-abad, supaya masuk Raja Kemuliaan!	Bukka’ palebar labang saketheng kona, Rato se molja bakal maso’a.
"Siapakah itu Raja Kemuliaan?" "TUHAN, jaya dan perkasa, TUHAN, perkasa dalam peperangan!"	Sapa Rato se molja jareya? Salerana PANGERAN se parjuga, PANGERAN se possa’ ban kobasa, se mennang e dhalem paperrangan.
Angkatlah kepalamu, hai pintu-pintu gerbang, dan terangkatlah kamu, hai pintu-pintu yang berabad-abad, supaya masuk Raja Kemuliaan!	Bukka’ palebar labang saketheng kona, Rato se molja bakal maso’a.
"Siapakah Dia itu Raja Kemuliaan?" "TUHAN semesta alam, Dialah Raja Kemuliaan!" Sela	Sapa Rato se molja jareya? PANGERAN Se Mahakobasa, jareya Rato se molja!
Mazmur Daud. TUHAN adalah gembalaku, takkan kekurangan aku.	Jaburra Daud. PANGERAN reya se ngowan sengko’, sengko’ ta’ kera kakorangan.
Ia membaringkan aku di padang yang berumput hijau, Ia membimbing aku ke air yang tenang;	Bi’ Pangeran sengko’ epatedhung e talon se rebbana biru. Sengko’ etonton bi’ Pangeran ka aeng se ceddu.
Ia menyegarkan jiwaku. Ia menuntun aku di jalan yang benar oleh karena nama-Nya.	Sengko’ eparenge kakowadan se anyar, ban etonton ka jalan se teppa’, menorot janjina.
Sekalipun aku berjalan dalam lembah kekelaman, aku tidak takut bahaya, sebab Engkau besertaku; gada-Mu dan tongkat-Mu, itulah yang menghibur aku.	Sanare abdidalem lebat e cora se petteng, GUSTE, abdidalem ta’ tako’ sakale ngadhebbi babaja, sabab Junandalem asarengnge abdidalem. Sabab Junandalem ajaga abdidalem akadi oreng ngowan se ajaga dumbana sareng tongket ban gadana.
