Berfirmanlah TUHAN kepada Musa:	Dhabuna PANGERAN ka Mosa,
Lalu berkatalah para ahli itu kepada Firaun: "Inilah tangan Allah." Tetapi hati Firaun berkeras, dan ia tidak mau mendengarkan mereka--seperti yang telah difirmankan TUHAN.	sampe’ kang-tokang tennong jareya mator ka rato, "Ka’dhinto Allah se madhateng." Tape rato paggun macengkal; akantha se la edhabuwagi PANGERAN, paggun ta’ meyarsa’agi dhabuna Mosa ban Harun.
Berfirmanlah TUHAN kepada Musa: "Bangunlah pagi-pagi dan berdirilah menantikan Firaun, pada waktu biasanya ia keluar ke sungai, dan katakanlah kepadanya: Beginilah firman TUHAN: Biarkanlah umat-Ku pergi, supaya mereka beribadah kepada-Ku;	Dhabuna PANGERAN ka Mosa, "Lagguna gu-laggu ba’na entar ka rato, pateppa’ baktona rato entar ka songay. Kabala ja’ Sengko’ apessen kantha reya: ‘Panneng Tang ommat kalowar dhari dhinna’, me’ olle ngenneng abakte ka Sengko’.
sebab jika engkau tidak membiarkan umat-Ku itu pergi, maka Aku akan melepaskan pikat terhadap engkau, terhadap pegawai-pegawaimu, rakyatmu dan rumah-rumahmu, sehingga rumah-rumah orang Mesir, bahkan tanah, di mana mereka berdiri akan penuh dengan pikat.	Mon bi’ ba’na ta’ ebagi, bi’ Sengko’ ba’na epadhatengngana lala’, bariya keya ba-ponggabana ban ra’yadda ba’na. Ko-bengkona oreng Messer, la’-mala’ tana sanagara Messer, bakal possa’a ban lala’.
Tetapi pada hari itu Aku akan mengecualikan tanah Gosyen, di mana umat-Ku tinggal, sehingga di sana tidak ada terdapat pikat, supaya engkau mengetahui, bahwa Aku, TUHAN, ada di negeri ini.	Tape bagiyan Gosyen, kennengnganna Tang ommat, bi’ Sengko’ epabida’a; bi’ Sengko’ kennengngan jareya ta’ epadhatengngana lala’, sopaja ba’na taowa ja’ Sengko’, PANGERAN, badha e nagara reya.
Sebab Aku akan mengadakan perbedaan antara umat-Ku dan bangsamu. Besok tanda mujizat ini akan terjadi."	Sengko’ mabida’a Tang ommat dhari ra’yadda ba’na. Kaajiban jareya bakal kadaddiyana lagguna.’"
TUHAN berbuat demikian; maka datanglah banyak-banyak pikat ke dalam istana Firaun dan ke dalam rumah pegawai-pegawainya dan ke seluruh tanah Mesir; negeri itu menderita karena pikat itu.	PANGERAN madhateng lala’ ta’ sakera-kera bannya’na, mossa’e karaton ban bengkona ba-ponggabana rato sarta ra’yat Messer. Oreng sanagara nyandhang sangsara polana lala’ jareya.
Lalu Firaun memanggil Musa dan Harun serta berkata: "Pergilah, persembahkanlah korban kepada Allahmu di negeri ini."	Rato laju nembali Mosa ban Harun. Dhabuna rato, "Kassa’ la kat-mangkat mon entara ngatorragiya kurban ka Allahna, tape neng e nagara reya bai."
Tetapi Musa berkata: "Tidak mungkin kami berbuat demikian, sebab korban yang akan kami persembahkan kepada TUHAN, Allah kami, adalah kekejian bagi orang Mesir. Apabila kami mempersembahkan korban yang menjadi kekejian bagi orang Mesir itu, di depan mata mereka, tidakkah mereka akan melempari kami dengan batu?	Tape Mosa mator, "Ta’ kengeng kadi ka’dhinto, sabab oreng Messer tanto peggel manabi nengale oreng Isra’il ngatorragi kurban ka PANGERAN, Allahna bangsa abdidalem; tanto oreng Isra’il pas egarujuk sareng oreng Messer.
Kami harus pergi ke padang gurun tiga hari perjalanan jauhnya untuk mempersembahkan korban kepada TUHAN, Allah kami, seperti yang difirmankan-Nya kepada kami."	Bangsa Isra’il kodu entar ka sagara beddhi se jauepon tello are parjalanan dhari ka’dhinto, badhi ngatorragiya kurban ka PANGERAN, Allahepon bangsa abdidalem, akadi se edhabuwagi PANGERAN dibi’ ka abdidalem."
Lalu kata Firaun: "Baik, aku akan membiarkan kamu pergi untuk mempersembahkan korban kepada TUHAN, Allahmu, di padang gurun; hanya janganlah kamu pergi terlalu jauh. Berdoalah untuk aku."	Dhabuna rato, "Iya, kassa’, bi’ sengko’ bangsana ba’na eedinana entar ka sagara beddhi kaangguy ngatorragiya kurban ka PANGERAN, Allahna ba’na. Tape ja’ u-jau. Pojiyagi sengko’ ka Allahna."
Lalu kata Musa: "Sekarang aku keluar meninggalkan tuanku dan akan berdoa kepada TUHAN, maka pikat itu akan dijauhkan besok dari Firaun, dari pegawai-pegawainya dan rakyatnya; hanya janganlah Firaun berlaku curang lagi dengan tidak membiarkan bangsa itu pergi untuk mempersembahkan korban kepada TUHAN."	Atorra Mosa, "Samangken abdidalem mangkada, abdidalem pas nyo’onnagiya ka PANGERAN sopaja lagguwepon lala’ se bannya’ ka’dhinto epatadha’a sadaja, sopaja ta’ agangguwa pole ka junandalem, sareng ka sadajana ponggabana junandalem, jugan ka ra’yattepon. Namong junandalem ja’ co-ngoco pole, ja’ lang-ngalange oreng Isra’il se padha entara ngatorragiya kurban ka PANGERAN."
Sesudah itu keluarlah Musa meninggalkan Firaun, lalu berdoa kepada TUHAN.	Saellana jareya Mosa pas kalowar dhari karaton, laju nyo’on ka PANGERAN.
Dan TUHAN membuat seperti yang dikatakan Musa: pikat itu dijauhkan-Nya dari Firaun, dari pegawai-pegawainya dan rakyatnya; seekorpun tidak ada yang tinggal.	PANGERAN ngabbuli parnyo’onanna. Lala’ gella’ padha ngabber, ondur dhari kalenggiyanna rato, dhari kennengnganna para ponggabana ban ra’yadda. Tadha’ karena settonga.
Tetapi sekali inipun Firaun tetap berkeras hati; ia tidak membiarkan bangsa itu pergi.	Tape rato paggun aoba pole, paggun macengkal, bangsa Isra’il ta’ eedine kalowar dhari nagarana.
Tetapi Aku akan mengeraskan hati Firaun, dan Aku akan memperbanyak tanda-tanda dan mujizat-mujizat yang Kubuat di tanah Mesir.	Tape bi’ Sengko’ rato Messer epacengkala; ta’ endha’ ngedhingngagi ka ba’na, maske Sengko’ la mabadha kaajiban se acem-macem e Messer jareya.
Bilamana Firaun tidak mendengarkan kamu, maka Aku akan mendatangkan tangan-Ku kepada Mesir dan mengeluarkan pasukan-Ku, umat-Ku, orang Israel, dari tanah Mesir dengan hukuman-hukuman yang berat.	Mon rato ta’ endha’ ngedhingngagi ka ba’na, bi’ Sengko’ Messer eokoma epaberra’a; dineng Tang ommat, oreng Isra’il, bi’ Sengko’ epakalowara dhari nagara jareya.
Dan orang Mesir itu akan mengetahui, bahwa Akulah TUHAN, apabila Aku mengacungkan tangan-Ku terhadap Mesir dan membawa orang Israel keluar dari tengah-tengah mereka."	Daddi, e bakto Sengko’ ngokom bangsa Messer ban makalowar ommat Isra’il dhari nagara jareya, oreng Messer tanto pas tao ja’ Sengko’ reya PANGERAN."
Demikianlah diperbuat Musa dan Harun; seperti yang diperintahkan TUHAN kepada mereka, demikianlah diperbuat mereka.	Mosa ban Harun laju alampa’agi sabarang se edhabuwagi PANGERAN jareya.
Adapun Musa delapan puluh tahun umurnya dan Harun delapan puluh tiga tahun, ketika mereka berbicara kepada Firaun.	E bakto ngadhep ka rato Messer jareya, yuswana Mosa ballung polo taon ban Harun ballung polo tello’ taon.
Dan TUHAN berfirman kepada Musa dan Harun:	Dhabuna PANGERAN ka Mosa ban Harun,
"Apabila Firaun berkata kepada kamu: Tunjukkanlah suatu mujizat, maka haruslah kaukatakan kepada Harun: Ambillah tongkatmu dan lemparkanlah itu di depan Firaun. Maka tongkat itu akan menjadi ular."	"Mon rato nyoro ba’na mabadha kaajiban menangka bukte, Harun soro ngala’ tongkedda. Tongket jareya soro ontallagi ka tana e adha’anna rato; tongket jareya tanto pas aoba daddi olar."
Musa dan Harun pergi menghadap Firaun, lalu mereka berbuat seperti yang diperintahkan TUHAN; Harun melemparkan tongkatnya di depan Firaun dan para pegawainya, maka tongkat itu menjadi ular.	Daddi Mosa ban Harun ngadhep ka rato akantha se la edhabuwagi PANGERAN. Bi’ Harun tongkedda eontallagi ka tana e ajunanna rato ban para ponggabana, tongket jareya pas aoba daddi olar.
Kemudian Firaunpun memanggil orang-orang berilmu dan ahli-ahli sihir; dan merekapun, ahli-ahli Mesir itu, membuat yang demikian juga dengan ilmu mantera mereka.	Rato pas nembali reng-oreng se penter ban kang-tokang tennong; reng-oreng jareya nerowagi Harun.
Masing-masing mereka melemparkan tongkatnya, dan tongkat-tongkat itu menjadi ular; tetapi tongkat Harun menelan tongkat-tongkat mereka.	Tongkedda bang-sebang padha eontallagi ka tana ngangguy wa’-duwa’, ban ket-tongket jareya laju aoba daddi olar kabbi. Tape tongkedda reng-oreng jareya eontal kabbi bi’ tongkedda Harun.
Tetapi hati Firaun berkeras, sehingga tidak mau mendengarkan mereka keduanya--seperti yang telah difirmankan TUHAN.	Sanajjan kantha jareya, rato paggun ta’ atoro’ ka dhabuna Mosa ban Harun, akantha se la edhabuwagi PANGERAN.
Berfirmanlah TUHAN kepada Musa: "Firaun berkeras hati, ia menolak membiarkan bangsa itu pergi.	Dhabuna PANGERAN ka Mosa, "Rato Messer cengkal, ta’ endha’ ngedine bangsa Isra’il kalowar dhari nagarana.
Pergilah kepada Firaun pada waktu pagi, pada waktu biasanya ia keluar ke sungai; nantikanlah dia di tepi sungai Nil dengan memegang di tanganmu tongkat yang tadinya berubah menjadi ular.	Daddi kassa’ ba’na entar ka rato. Mon entara gu-laggu, teppa’na rato entar ka Songay Nil akantha biyasana. Giba tongkedda ba’na se bisa aoba daddi olar rowa. Nante’ sampe’ rato jareya napa’ ka penggir songay.
Dan katakanlah kepadanya: TUHAN, Allah orang Ibrani, telah mengutus aku kepadamu untuk mengatakan: Biarkanlah umat-Ku pergi, supaya mereka beribadah kepada-Ku di padang gurun; meskipun begitu sampai sekarang engkau tidak mau mendengarkan.	Ba’na ngoca’ kantha reya ka rato, ‘PANGERAN, Allahna bangsa Ibrani makon abdidalem nyo’on ka junandalem sopaja ommattepon eedine entar ka sagara beddhi sopaja kengenga abakte ka PANGERAN. Namong kantos samangken junandalem ta’ kasokan meyarsa’agi.
Sebab itu beginilah firman TUHAN: Dari hal yang berikut akan kauketahui, bahwa Akulah TUHAN. Lihat, dengan tongkat yang di tanganku ini akan kupukul air yang di sungai Nil dan air itu akan berubah menjadi darah,	Daddi, dhabuepon PANGERAN,’ Dhari sadaja se badhi elampa’agiya PANGERAN, junandalem bakal ngagaliya pasera salerressa PANGERAN ka’dhinto. ‘Ngereng oladi. Aengnga songay ka’dhinto sareng abdidalem epokola sareng tongket ka’dhinto, aengngepon tanto pas aoba daddi dhara.
dan ikan yang dalam sungai Nil akan mati, sehingga sungai Nil akan berbau busuk; maka orang Mesir akan segan meminum air dari sungai Nil ini."	Ko’-juko’ e dhalem aengnga bakal mateya, aengnga songay pas bakal bacengnga kantos aengngepon ta’ ekenneng enom sareng oreng Messer.’"
TUHAN berfirman kepada Musa: "Katakanlah kepada Harun: Ambillah tongkatmu, ulurkanlah tanganmu ke atas segala air orang Mesir, ke atas sungai, selokan, kolam dan ke atas segala kumpulan air yang ada pada mereka, supaya semuanya menjadi darah, dan akan ada darah di seluruh tanah Mesir, bahkan dalam wadah kayu dan wadah batu."	PANGERAN adhabu pole ka Mosa, "Kassa’ Harun soro ngala’ tongkedda, soro pangaceng ka attasanna ngay-songay, sakabbinna sellogan ban taman e Messer. Aeng sanagara Messer tanto pas aoba daddi dhara, sampe’ ka aeng e dhalem thong-genthong kaju ban nay-pennay bato."
Demikianlah Musa dan Harun berbuat seperti yang difirmankan TUHAN; diangkatnya tongkat itu dan dipukulkannya kepada air yang di sungai Nil, di depan mata Firaun dan pegawai-pegawainya, maka seluruh air yang di sungai Nil berubah menjadi darah;	Mosa ban Harun alampa’agi dhabuna PANGERAN jareya. E ajunanna rato Messer ban ba-ponggabana, Harun ngangka’ tongkedda, epokollagi ka aengnga songay. Sanatkala jareya keya aengnga Songay Nil jareya aoba daddi dhara.
matilah ikan di sungai Nil, sehingga sungai Nil itu berbau busuk dan orang Mesir tidak dapat meminum air dari sungai Nil; dan di seluruh tanah Mesir ada darah.	Ko’-juko’ e dhalem songay jareya mate kabbi, daddi aengnga pas baceng; reng-oreng Messer ta’ nemmo aeng se eenoma. Aeng sanagara Messer aoba daddi dhara kabbi.
Tetapi para ahli Mesir membuat yang demikian juga dengan ilmu-ilmu mantera mereka, sehingga hati Firaun berkeras dan ia tidak mau mendengarkan mereka keduanya seperti yang telah difirmankan TUHAN.	Tape kang-tokang tennongnga rato ngalakone kantha jareya keya kalaban ngangguy wa’-duwa’, daddi rato gi’ paggun cengkal, ta’ kasokan meyarsa’agi ka Mosa ban Harun, akantha se la edhabuwagi bi’ PANGERAN.
Firaun berpaling, lalu masuk ke istananya dan tidak mau memperhatikan hal itu juga.	La’-mala’ rato pas gubar ka karaton, ta’ marduli ka kadaddiyan jareya.
Tetapi semua orang Mesir menggali-gali di sekitar sungai Nil mencari air untuk diminum, sebab mereka tidak dapat meminum air sungai Nil.	Reng-oreng Messer padha ngale lobang e salanjangnga penggirra songay, nyare aeng enom, sabab aeng songayya ta’ ekenneng enom.
Demikianlah genap tujuh hari berlalu setelah TUHAN menulahi sungai Nil.	Sampe’ pettong are abidda PANGERAN madhateng babaston se kantha jareya ka Songay Nil.
Selanjutnya berfirmanlah Allah kepada Musa: "Akulah TUHAN.	Dhabuna Allah ka Mosa, "Sengko’ reya PANGERAN.
Aku telah menampakkan diri kepada Abraham, Ishak dan Yakub sebagai Allah Yang Mahakuasa, tetapi dengan nama-Ku TUHAN Aku belum menyatakan diri.	Sengko’ la ngaton ka Ibrahim, Ishak ban Yakub, Allah Se Mahakobasa; tape ka oreng se katello jareya Sengko’ gi’ ta’ ngennallagi ja’ Tang nyama ‘PANGERAN’.
Bukan saja Aku telah mengadakan perjanjian-Ku dengan mereka untuk memberikan kepada mereka tanah Kanaan, tempat mereka tinggal sebagai orang asing,	Sengko’ mabadha parjanjiyan bi’ se katello jareya. Sengko’ ajanji se katello jareya bi’ Sengko’ eberri’ana tana Kana’an, se sabbanna ekennengnge bi’ se katello jareya menangka oreng manca.
tetapi Aku sudah mendengar juga erang orang Israel yang telah diperbudak oleh orang Mesir, dan Aku ingat kepada perjanjian-Ku.	Sengko’ la ngedhing serrona oreng Isra’il se ekadunor bangsa Messer, Sengko’ enga’ ka parjanjiyan jareya.
Sebab itu katakanlah kepada orang Israel: Akulah TUHAN, Aku akan membebaskan kamu dari kerja paksa orang Mesir, melepaskan kamu dari perbudakan mereka dan menebus kamu dengan tangan yang teracung dan dengan hukuman-hukuman yang berat.	Daddi kabala ka bangsa Isra’il ja’ Sengko’ ngoca’ kantha reya, ‘Sengko’ reya PANGERAN; Sengko’ mabebasa ba’na kabbi dhari kakobasa’anna bangsa Messer sopaja ba’na ta’ ekadunor pole. Sengko’ noduwagiya Tang kakobasa’an se talebat rajana kaangguy masalamedda ba’na, ban Sengko’ ngokoma bangsa Messer epaberra’a.
Aku akan mengangkat kamu menjadi umat-Ku dan Aku akan menjadi Allahmu, supaya kamu mengetahui, bahwa Akulah, TUHAN, Allahmu, yang membebaskan kamu dari kerja paksa orang Mesir.	Ba’na bi’ Sengko’ epadaddiya Tang ommat, ban Sengko’ daddiya Allahna ba’na. Sopaja ba’na padha’a tao ja’ Sengko’, PANGERAN, Allahna ba’na, se mabebas ba’na dhari kakobasa’anna bangsa Messer sopaja ba’na ta’ ekadunora terros.
Dan Aku akan membawa kamu ke negeri yang dengan sumpah telah Kujanjikan memberikannya kepada Abraham, Ishak dan Yakub, dan Aku akan memberikannya kepadamu untuk menjadi milikmu; Akulah TUHAN."	Sengko’ ngeba’a ba’na ka nagara se bi’ Sengko’ la ejanjiyagi kalaban sompa ka Ibrahim, Ishak ban Yakub; tana jareya bi’ Sengko’ ebagiya ka ba’na, epadaddiya andhi’na ba’na. Sengko’ reya PANGERAN.’"
Lalu Musa mengatakan demikian kepada orang Israel, tetapi mereka tidak mendengarkan Musa karena mereka putus asa dan karena perbudakan yang berat itu.	Dhabuna PANGERAN jareya bi’ Mosa epanapa’ kabbi ka oreng Isra’il, tape oreng Isra’il padha ta’ ngedhingngagi kabbi, reng-oreng jareya padha potos asa polana ros-terrosan ekadunor ban eseksa.
Kemudian TUHAN berfirman kepada Musa:	PANGERAN pas adhabu ka Mosa,
"Pergilah menghadap, katakanlah kepada Firaun, raja Mesir, bahwa ia harus membiarkan orang Israel pergi dari negerinya."	"Kassa’ ngadhep ka rato Messer, kabala bangsa Isra’il soro edine kalowar dhari nagarana."
Tetapi Musa berkata di hadapan TUHAN: "Orang Israel sendiri tidak mendengarkan aku, bagaimanakah mungkin Firaun akan mendengarkan aku, aku seorang yang tidak petah lidahnya!"	Tape Mosa mator ka PANGERAN, "Oreng Isra’il dibi’ ta’ poron merengngagi abdidalem. Ponapa pole rato Messer? Abdidalem ta’ oneng acaca, Guste."
Demikianlah TUHAN telah berfirman kepada Musa dan Harun, serta mengutus mereka kepada orang Israel dan kepada Firaun, raja Mesir, dengan membawa perintah supaya orang Israel dibawa keluar dari Mesir.	Daddi PANGERAN pas ngotos Mosa ban Harun abala ka oreng Isra’il ban ka rato Messer ja’ PANGERAN marenta’agi aba’na sopaja mimpina oreng Isra’il kalowar dhari nagara Messer.
Inilah para kepala kaum keluarga mereka: Anak-anak Ruben anak sulung Israel: Henokh, Palu, Hezron dan Karmi; itulah kaum-kaum Ruben.	Areya’ silsilahna Mosa ban Harun: Ruben, pottra sareyangnga Yakub, andhi’ ana’ lalake’ kaempa, iya areya: Henokh, Palu, Hezron ban Karmi. Jareya bangatowana om-kaom e dhalem suku Ruben.
Anak-anak Simeon: Yemuel, Yamin, Ohad, Yakhin, Zohar, dan Saul, anak seorang perempuan Kanaan; itulah kaum-kaum Simeon.	Simeyon ban binena se dhari Kana’an andhi’ ana’ lalake’ kaennem, iya areya: Yemuwel, Yamin, Ohad, Yakhin, Zohar ban Saul. Jareya bangatowana om-kaom e dhalem suku Simeyon.
Inilah nama anak-anak Lewi menurut urutan kelahirannya: Gerson, Kehat dan Merari. Umur Lewi seratus tiga puluh tujuh tahun.	Lewi andhi’ ana’ lalake’ katello: Gerson, Kehat ban Merari; jareya bangatowana om-kaom e dhalem suku Lewi. Omorra Lewi sampe’ saratos tello polo petto’ taon.
Anak-anak Gerson: Libni dan Simei, menurut kaum mereka.	Gerson andhi’ ana’ lalake’ kadhuwa: Libni ban Simei; se kadhuwa jareya bannya’ toronanna.
Anak-anak Kehat: Amram, Yizhar, Hebron dan Uziel. Umur Kehat seratus tiga puluh tiga tahun.	Kehat andhi’ ana’ lalake’ kaempa: Amram, Yizhar, Hebron ban Uziyel. Omorra Kehat sampe’ saratos tello polo tello’ taon.
Anak-anak Merari: Mahli dan Musi. Itulah kaum-kaum Lewi menurut urutannya.	Merari andhi’ ana’ lalake’ kadhuwa: Mahli ban Mosi. Jareya om-kaom e dhalem suku Lewi ban toronanna bang-sebang.
Dan Amram mengambil Yokhebed, saudara ayahnya, menjadi isterinya, dan perempuan ini melahirkan Harun dan Musa baginya. Umur Amram seratus tiga puluh tujuh tahun.	Amram abine ale’na eppa’na, nyamana Yokhebed. Yokhebed babar lalake’, iya areya Harun ban Mosa. Yuswana Amram sampe’ saratos tello polo petto’ taon.
Anak-anak Yizhar: Korah, Nefeg dan Zikhri.	Yizhar andhi’ ana’ lalake’ katello, iya areya: Korah, Nefeg ban Zikri.
Anak-anak Uziel: Misael, Elsafan dan Sitri.	Ana’na Uziyel lalake’ katello keya, iya areya: Misa’el, Elsafan ban Sitri.
Dan Harun mengambil Eliseba, anak perempuan Aminadab, saudara perempuan Nahason, menjadi isterinya, dan perempuan ini melahirkan baginya Nadab, Abihu, Eleazar dan Itamar.	Harun abine Eliseba, pottrana Aminadab; Eliseba jareya sataretan ban Nahason. Eliseba kaagungan pottra Nadab, Abihu, Eleyazar ban Itamar.
Anak-anak Korah: Asir, Elkana dan Abiasaf; itulah kaum-kaum orang Korah.	Korah andhi’ ana’ lalake’ katello, iya areya: Asir, Elkana ban Abiyasaf. Jareya para bangatowana kaomma Korah.
Eleazar, anak Harun, mengambil salah seorang anak perempuan Putiel menjadi isterinya dan perempuan ini melahirkan Pinehas baginya. Itulah para kepala kaum keluarga orang Lewi menurut kaum mereka.	Eleyazar, pottrana Harun, abine sala settong dhari pottrana Putiyel, pas kaagungan pottra Pinehas. Jareya para kapalana kaom kalowarga e dhalem suku Lewi.
Itulah Harun dan Musa, yang diperintahkan TUHAN: "Bawalah orang Israel keluar dari tanah Mesir menurut pasukan mereka."	Harun ban Mosa jareya se epakon PANGERAN abakta oreng Isra’il kalowar dhari Messer.
Merekalah yang berbicara kepada Firaun, raja Mesir, supaya mereka membawa orang Israel keluar dari Mesir. Itulah Musa dan Harun.	Se kadhuwa jareya ngadhep ka rato Messer sopaja oreng Isra’il epabebasa.
Pada waktu TUHAN berfirman kepada Musa di tanah Mesir,	E bakto PANGERAN abu-dhabu ka Mosa e Messer,
TUHAN berfirman kepadanya: "Akulah TUHAN; katakanlah kepada Firaun, raja Mesir, segala yang Kufirmankan kepadamu."	dhabuna kantha reya, "Sengko’ reya PANGERAN. Kabala ka rato Messer sabarang se ekoca’agi Sengko’ ka ba’na."
Tetapi Musa berkata di hadapan TUHAN: "Bukankah aku ini seorang yang tidak petah lidahnya, bagaimanakah mungkin Firaun akan mendengarkan aku?"	Tape Mosa mator, "Junandalem ngagali dibi’ ja’ abdidalem ta’ oneng acaca. Kadi ponapa rato se meyarsa’agiya ka abdidalem?"
Kemudian Musa dan Harun pergi menghadap Firaun, lalu berkata kepadanya: "Beginilah firman TUHAN, Allah Israel: Biarkanlah umat-Ku pergi untuk mengadakan perayaan bagi-Ku di padang gurun."	Mosa ban Harun pas ngadhep ka rato Messer, laju mator kantha reya, "Badha dhabuna PANGERAN, Allah se esemba Isra’il; dhabuna kadi ka’dhinto, ‘Dina Tang ommat me’ olle entar ka ra-ara beddhi, me’ olle mabadha paraya’an menangka baktena ka Sengko’.’"
Tetapi Firaun berkata: "Siapakah TUHAN itu yang harus kudengarkan firman-Nya untuk membiarkan orang Israel pergi? Tidak kenal aku TUHAN itu dan tidak juga aku akan membiarkan orang Israel pergi."	"Sapa PANGERAN jareya?" dhabuna rato Messer, "Arapa’a sengko’ me’ atoro’a ka parentana, ngedinana oreng Isra’il kalowar dhari dhinna’? Sengko’ ta’ tao ka PANGERAN jareya, ban sengko’ ta’ ngedinana oreng Isra’il kalowar dhari dhinna’."
Lalu kata mereka: "Allah orang Ibrani telah menemui kami; izinkanlah kiranya kami pergi ke padang gurun tiga hari perjalanan jauhnya, untuk mempersembahkan korban kepada TUHAN, Allah kami, supaya jangan nanti mendatangkan kepada kami penyakit sampar atau pedang."	Mosa ban Harun mator, "Allahna Ibrani adhabu ka abdidalem, makon sopaja bangsa Isra’il eparengngana edi entar ka ra-ara beddhi se jauna tello are parjalanan dhari ka’dhinto, polana ngatorragiya kurban ka PANGERAN, Allahna Isra’il. Manabi sareng junandalem ta’ eedine, PANGERAN tanto madhateng panyaket otaba perrang kantos bangsa abdidalem sadaja epamate."
Tetapi raja Mesir berkata kepada mereka: "Musa dan Harun, mengapakah kamu bawa-bawa bangsa ini melalaikan pekerjaannya? Pergilah melakukan pekerjaanmu!"	Dhabuna rato Messer ka Mosa ban Harun, "Apa maksodda ba’na me’ ra’yat esoro ngenthengngagi lalakonna? Soro abali ka kalakowanna pole nor-dunor jareya!
Lagi kata Firaun: "Lihat, sekarang telah terlalu banyak bangsamu di negeri ini, masakan kamu hendak menghentikan mereka dari kerja paksanya!"	Bangsana ba’na sajan bannya’, abannya’an dhari bangsa Messer. Sateya bi’ ba’na me’ pas esorowa ambu alako!"
Pada hari itu juga Firaun memerintahkan kepada pengerah-pengerah bangsa itu dan kepada mandur-mandur mereka sendiri:	E are jareya keya rato Messer adhabu ka para pangawassa nor-dunor ban ka sakabbinna dhur-mandhurra bangsa Isra’il,
"Tidak boleh lagi kamu memberikan jerami kepada bangsa itu untuk membuat batu bata, seperti sampai sekarang; biarlah mereka sendiri yang pergi mengumpulkan jerami,	"Ba’na ta’ olle aberri’ darameyan ka bangsa Isra’il se agabaya bata; dina reng-oreng jareya me’ olle nyare darameyan dibi’.
tetapi jumlah batu bata, yang harus dibuat mereka sampai sekarang, bebankanlah itu juga kepada mereka dan jangan menguranginya, karena mereka pemalas. Itulah sebabnya mereka berteriak-teriak: Izinkanlah kami pergi mempersembahkan korban kepada Allah kami.	Tape bannya’na bata se kodu ekagabay ta’ olle korange, kodu paggun papadha ban ban-sabbanna. Reng-oreng jareya males, daddi terros menta edi ka sengko’ entara ngeba kurban ka Allahna!
Pekerjaan orang-orang ini harus diperberat, sehingga mereka terikat kepada pekerjaannya dan jangan mempedulikan perkataan dusta."	Tambai lakona, paberra’, sopaja reng-oreng jareya ta’ sempada ngedhingngagi cacana reng-oreng se lecegan."
Maka para pengerah bangsa itu dan para mandurnya pergi dan berkata kepada mereka: "Beginilah kata Firaun: Aku tidak memberi jerami lagi kepadamu.	Para pangawassa nor-dunor jareya ban dhur-mandhurra bangsa Isra’il padha kalowar, laju ngoca’ ka reng-oreng Isra’il, "Dhabuna rato ba’na ta’ eparengngana darameyan pole.
Pergilah kamu sendiri mengambil jerami, di mana saja kamu mendapatnya, tetapi pekerjaanmu sedikitpun tidak boleh kurang."	Ba’na kodu nyare dibi’, tape bannya’na bata se kodu ekagabay ba’na ta’ olle korange, kodu padha ban ba’-lamba’na."
Lalu berseraklah bangsa itu ke seluruh tanah Mesir untuk mengumpulkan tunggul gandum sebagai pengganti jerami.	Daddi reng-oreng Isra’il entar nyare darameyan san-kassannagi e Messer.
Dan pengerah-pengerah itu mendesak mereka dengan berkata: "Selesaikan pekerjaanmu, yaitu tugas sehari, seperti pada waktu ada jerami."	Para pangawassa nor-dunor jareya terros maksa sopaja reng-oreng Isra’il agabay bata se bannya’na e dhalem saare padha ban bannya’na e bakto eberri’i darameyan.
Lalu pengerah-pengerah Firaun memukul mandur-mandur Israel, yang mereka angkat, sambil bertanya: "Mengapakah kamu pada hari ini tidak menyelesaikan jumlah batu bata yang harus kamu buat seperti kemarin?"	Dhur-mandhurra oreng Isra’il se epassrae orosanna lalakon jareya epokole bi’ para pangawassa dhur-mandhur. Ca’na para pangawas jareya, "Arapa bata se ekagabay sateya bannya’na me’ ta’ padha ban se ba’ari’?"
Sesudah itu pergilah para mandur Israel kepada Firaun dan mengadukan halnya kepadanya: "Mengapakah tuanku berlaku seperti itu terhadap hamba-hambamu ini?	Dhur-mandhurra oreng Isra’il jareya padha ngadhep ka rato Messer, sambi aserro kantha reya, "Aponapa abdidalem sadaja me’ epakadi paneka sareng junandalem, guste?
Jerami tidak diberikan lagi kepada hamba-hambamu ini tetapi walaupun begitu, kami diperintahkan: Buatlah batu bata. Dan dalam pada itu hamba-hambamu ini dipukuli, padahal rakyat tuankulah yang bersalah."	Abdidalem ta’ eparenge darameyan namong gi’ paggun epakon abadhi bata! Samangken abdidalem epokole mangkana se sala ba-ponggabana junandalem."
Tetapi ia berkata: "Pemalas kamu, pemalas! Itulah sebabnya kamu berkata: Izinkanlah kami pergi mempersembahkan korban kepada TUHAN!	Dhabuna rato, "Ba’na reya, males; daddi jareya sababba ba’na menta edi entara ngeba kurban ka PANGERAN!
Jadi sekarang, pergilah, bekerja! Jerami tidak akan diberikan lagi kepadamu, tetapi jumlah batu bata yang sama harus kamu serahkan."	Sateya kassa’ alako pole! Ba’na paggun ta’ eberri’ana darameyan, tape bannya’na bata se kodu ekagabay kodu padha ban ban-sabbanna."
Maka mengertilah para mandur Israel, bahwa mereka ada dalam keadaan susah, karena dikatakan kepada mereka: "Kamu tidak boleh mengurangi jumlah batu bata pada tiap-tiap hari."	Dhur-mandhurra bangsa Isra’il jareya apangrasa ja’ bangsana badha e dhalem kasossa’an e bakto ebalai ja’ kodu agabay bata se bannya’na paggun akantha ban-sabbanna.
