Peliharalah kasih persaudaraan!	Sampeyan kodu saleng taresna menangka reng-oreng Kristen se ataretanan.
Jadi masih tersedia suatu hari perhentian, hari ketujuh, bagi umat Allah.	Daddi, kaangguy ommadda Allah gi’ badha janji kaangguy aistirahat akadi Allah se aistirahat e are se kapeng petto’ ganeka.
Sebab barangsiapa telah masuk ke tempat perhentian-Nya, ia sendiri telah berhenti dari segala pekerjaannya, sama seperti Allah berhenti dari pekerjaan-Nya.	Sabab oreng se narema istirahat se ejanjiyagi Allah ka aba’na ganeka, bakal aistirahada jugan dhari sadajana lalakonna, akadi Allah.
Karena itu baiklah kita berusaha untuk masuk ke dalam perhentian itu, supaya jangan seorangpun jatuh karena mengikuti contoh ketidaktaatan itu juga.	Daddi, tore aehteyar pagu-onggu kaangguy narema istirahat se ejanjiyagi Allah ganeka. Ja’ sampe’ badha settong balakka’ e antarana sampeyan sareng kaula sadaja se ta’ ahasel akadi reng-oreng ka’issa’ lamba’ amarga ta’ parcaja ka Allah.
Sebab firman Allah hidup dan kuat dan lebih tajam dari pada pedang bermata dua manapun; ia menusuk amat dalam sampai memisahkan jiwa dan roh, sendi-sendi dan sumsum; ia sanggup membedakan pertimbangan dan pikiran hati kita.	Dhabuna Allah paneka dhabu se odhi’ ban kowat, atajemman dhari peddhang se amata dhuwa’. Dhabu ganeka nyoddu’ kantos ka bates e antarana sokma sareng erroh; sampe’ ka bates e antarana so-resowan ban lang-tolangnga somsom, kantos oneng salem-dhalemma ka pekkeran ban neyadda manossa.
Dan tidak ada suatu makhlukpun yang tersembunyi di hadapan-Nya, sebab segala sesuatu telanjang dan terbuka di depan mata Dia, yang kepada-Nya kita harus memberikan pertanggungan jawab.	Tadha’ mahlok settonga se ekenneng errep dhari pangoladanna Allah. Ponapa’a bai etangale akadi se abangkang e ajunanna Allah. Ban sampeyan sareng kaula kodu aberri’ tanggung jawab ka Salerana.
Karena kita sekarang mempunyai Imam Besar Agung, yang telah melintasi semua langit, yaitu Yesus, Anak Allah, baiklah kita teguh berpegang pada pengakuan iman kita.	Ganeka sababba sampeyan sareng kaula sadaja kodu koko neggu’i kaparcaja’anna se eakone sampeyan sareng kaula sadaja. Sabab sampeyan sareng kaula sadaja gadhuwan Imam Agung se raja, se maso’ kantos ka ajunanna Allah — ganeka Isa Pottrana Allah.
Sebab Imam Besar yang kita punya, bukanlah imam besar yang tidak dapat turut merasakan kelemahan-kelemahan kita, sebaliknya sama dengan kita, Ia telah dicobai, hanya tidak berbuat dosa.	Imam Agungnga sampeyan sareng kaula sadaja banne imam se ta’ bisa noro’ ngarassa’agi kakorangan-kakoranganna sampeyan sareng kaula sadaja. Sabaligga, Salerana ampon ecoba e dhalem parkara ponapa’a saos, padha akadi sampeyan sareng kaula sadaja; coma Salerana ta’ agabay dusa!
Sebab itu marilah kita dengan penuh keberanian menghampiri takhta kasih karunia, supaya kita menerima rahmat dan menemukan kasih karunia untuk mendapat pertolongan kita pada waktunya.	Daddi, tore padha pabangal ngadhep Allah se marenta kalaban bellas ase. Allah tanto bellas ka sampeyan sareng kaula sadaja ban aberkadi sampeyan sareng kaula sadaja sopaja olle partolongan teppa’ baktona.
Sebab itu, hai saudara-saudara yang kudus, yang mendapat bagian dalam panggilan sorgawi, pandanglah kepada Rasul dan Imam Besar yang kita akui, yaitu Yesus,	Tan-taretan sasama Kristen se etembali jugan sareng Allah! Mangken kodda’ pekker padhalem parkara Isa ganeka! Allah ngotos Salerana malolo kaangguy daddi Imam Agung e dhalem agama se eanot sampeyan sareng kaula sadaja.
yang setia kepada Dia yang telah menetapkan-Nya, sebagaimana Musapun setia dalam segenap rumah-Nya.	Salerana esto ka Allah se mele Salerana kaangguy lalakon ganeka, akadi Mosa se gi’ dhimen jugan esto alampa’agi lalakonna e Padalemman Socce.
Sebab Ia dipandang layak mendapat kemuliaan lebih besar dari pada Musa, sama seperti ahli bangunan lebih dihormati dari pada rumah yang dibangunnya.	Nangeng Isa patot narema kahormadan se lebbi raja dhari Mosa. Sabab oreng se maddek bengko kodu narema kahormadan se araja’an dhari bengko ganeka dibi’.
Sebab setiap rumah dibangun oleh seorang ahli bangunan, tetapi ahli bangunan segala sesuatu ialah Allah.	Pajat saneyap compo’ badha se agabay, nangeng se abadhi sadajana se badha paneka Allah dibi’.
Dan Musa memang setia dalam segenap rumah Allah sebagai pelayan untuk memberi kesaksian tentang apa yang akan diberitakan kemudian,	Mosa esto menangka pangladin e padalemmanna Allah ban manapa’ pa-ponapa se edhabuwagiya Allah e jaman se bakal dhateng.
tetapi Kristus setia sebagai Anak yang mengepalai rumah-Nya; dan rumah-Nya ialah kita, jika kita sampai kepada akhirnya teguh berpegang pada kepercayaan dan pengharapan yang kita megahkan.	Nangeng Almasih esto menangka Pottra se atanggung jawab kaangguy padalemmanna Allah. Ban sampeyan sareng kaula sadaja paneka padalemmanna Allah, mon sampeyan sareng kaula sadaja paggun samangat ban teptep yakin kaangguy ngaolle ponapa se earep sampeyan sareng kaula sadaja.
Sebab itu, seperti yang dikatakan Roh Kudus: "Pada hari ini, jika kamu mendengar suara-Nya,	Daddi, akadi dhabuna Errohna Allah, "Mon e are sateya ba’na ngedhing sowarana Allah,
janganlah keraskan hatimu seperti dalam kegeraman pada waktu pencobaan di padang gurun,	ba’na ja’ cengkal akantha bangatowana, e bakto e sagara beddhi aberonta’ ka Allah sarta nyoba’ Salerana.
di mana nenek moyangmu mencobai Aku dengan jalan menguji Aku, sekalipun mereka melihat perbuatan-perbuatan-Ku, empat puluh tahun lamanya.	‘E jadhiya Sengko’ eoji ban ecoba bi’ bangatowana ba’na,’ dhabuna Allah, ‘mangkana reng-oreng jareya la nangale’e Tang lalakon saabidda pa’ polo taon.’
Itulah sebabnya Aku murka kepada angkatan itu, dan berkata: Selalu mereka sesat hati, dan mereka tidak mengenal jalan-Ku,	Jareya sababba Sengko’ peggel ka reng-oreng jareya sarta ngoca’, ‘Reng-oreng reya salanjangnga ta’ esto ban ta’ endha’ atoro’ ka sabarang se eparenta’agi Sengko’.’
sehingga Aku bersumpah dalam murka-Ku: Mereka takkan masuk ke tempat perhentian-Ku."	Sengko’ gigir ban asompa, ‘Reng-oreng reya ta’ kera maso’ ka nagara rowa, kaangguy aistirahat abareng ban Sengko’.’"
Waspadalah, hai saudara-saudara, supaya di antara kamu jangan terdapat seorang yang hatinya jahat dan yang tidak percaya oleh karena ia murtad dari Allah yang hidup.	Tan-taretan, te-ngate ja’ kantos badha e antarana sampeyan se ce’ juba’na atena ban ta’ andhi’ iman, sampe’ abalik ajauwi Allah se odhi’!
Tetapi nasihatilah seorang akan yang lain setiap hari, selama masih dapat dikatakan "hari ini", supaya jangan ada di antara kamu yang menjadi tegar hatinya karena tipu daya dosa.	Daddi, sopaja tadha’ settonga e antarana sampeyan se ekenneng tepo bi’ dusa sampe’ alaban ka Allah, sabban are sampeyan kodu saleng balai saabidda gi’ odhi’ e dhalem jaman se esebbut "Are Teya" e dhalem Alketab.
Karena kita telah beroleh bagian di dalam Kristus, asal saja kita teguh berpegang sampai kepada akhirnya pada keyakinan iman kita yang semula.	Sampeyan sareng kaula sadaja kanca saparjuangan sareng Almasih, sokor sampe’ aher paggun neggu’i kayakinan se ekaandhi’ sampeyan sareng kaula sadaja dhari dha’-adha’na.
Tetapi apabila pernah dikatakan: "Pada hari ini, jika kamu mendengar suara-Nya, janganlah keraskan hatimu seperti dalam kegeraman",	Paneka’ se etoles e dhalem Alketab, "Mon e are teya ba’na ngedhing sowarana Allah, ba’na ja’ cengkal akantha bangatowana, e bakto aberonta’ ka Allah."
siapakah mereka yang membangkitkan amarah Allah, sekalipun mereka mendengar suara-Nya? Bukankah mereka semua yang keluar dari Mesir di bawah pimpinan Musa?	Pasera se meyarsa sowarana Allah pas aberonta’ ka Salerana? Gu ta’ sadajana oreng se epimpin Mosa kalowar dhari Messer, ta’ enggi?
Dan siapakah yang Ia murkai empat puluh tahun lamanya? Bukankah mereka yang berbuat dosa dan yang mayatnya bergelimpangan di padang gurun?	Ban pasera se edukane Allah pa’ polo taon abidda? Reng-oreng se dusa, se gaggar mate e sagara beddhi, ta’ enggi?
Dan siapakah yang telah Ia sumpahi, bahwa mereka takkan masuk ke tempat perhentian-Nya? Bukankah mereka yang tidak taat?	E bakto Allah asompa sapaneka, "Reng-oreng reya ta’ kera maso’ ka nagara rowa, kaangguy aistirahat abareng ban Sengko’" — pasera ganeka se ekamaksod sareng Allah? Se ekamaksod enggi paneka reng-oreng se aberonta’ ka Allah, ta’ enggi?
Demikianlah kita lihat, bahwa mereka tidak dapat masuk oleh karena ketidakpercayaan mereka.	Samangken sampeyan sareng kaula sadaja ngarte ja’ reng-oreng ganeka ta’ bisa maso’, polana ta’ parcaja ka Allah.
Karena itu harus lebih teliti kita memperhatikan apa yang telah kita dengar, supaya kita jangan hanyut dibawa arus.	Ganeka sababba sampeyan sareng kaula sadaja kodu pataronggu neggu’i ka pangajaran-pangajaran se ampon epeyarsa, sopaja ta’ kantos adinggallagi kaparcaja’an.
Sebab kalau firman yang dikatakan dengan perantaraan malaikat-malaikat tetap berlaku, dan setiap pelanggaran dan ketidaktaatan mendapat balasan yang setimpal,	Sen-pessen se epanapa’ sareng kat-malaekat ka bangatowana sampeyan sareng kaula sadaja nyatana lerres, ban oreng se ta’ atoro’ ban ta’ ngestowagi sen-pessen ganeka narema okoman se satembang.
bagaimanakah kita akan luput, jikalau kita menyia-nyiakan keselamatan yang sebesar itu, yang mula-mula diberitakan oleh Tuhan dan oleh mereka yang telah mendengarnya, kepada kita dengan cara yang dapat dipercayai, sedangkan	Ponapa pole sareng kasalameddan se lebbi hebat dhari sen-pessen ganeka! Mon ta’ eparduli, tanto sampeyan sareng kaula sadaja ta’ lopot dhari okoman. Sabab Pangeran dibi’ se dha’-adha’ ngomommagi parkara kasalameddan ganeka, ban reng-oreng se mereng dha’-adha’ parkara ganeka ampon abukteyagi ka sampeyan sareng kaula sadaja ja’ ganeka pajat lerres.
Allah meneguhkan kesaksian mereka oleh tanda-tanda dan mujizat-mujizat dan oleh berbagai-bagai penyataan kekuasaan dan karena Roh Kudus, yang dibagi-bagikan-Nya menurut kehendak-Nya.	Laen dhari ganeka Allah makowat kasakseyanna reng-oreng ganeka kalaban mabadha samacemma kaajiban sarta kadaddiyan-kadaddiyan se lowar biyasa sarta gi-magi reng-papareng dhari Errohna Allah menorot kasokanna dibi’.
Sebab bukan kepada malaikat-malaikat telah Ia taklukkan dunia yang akan datang, yang kita bicarakan ini.	Kat-malaekat ta’ eparenge kobasa sareng Allah kaangguy marenta dunnya se anyar se bakal dhateng, enggi paneka dunnya se ekacaca sampeyan sareng kaula paneka.
Ada orang yang pernah memberi kesaksian di dalam suatu nas, katanya: "Apakah manusia, sehingga Engkau mengingatnya, atau anak manusia, sehingga Engkau mengindahkannya?	Sabaligga, e settong bagiyan e dhalem Alketab esebbuttagi sapaneka, "Manossa ka’dhinto’ ponapa, Guste, me’ sareng Junandalem ekaemodi? Manossa ka’dhinto’ namong manossa, nangeng sareng Junandalem egateyagi!
Namun Engkau telah membuatnya untuk waktu yang singkat sedikit lebih rendah dari pada malaikat-malaikat, dan telah memahkotainya dengan kemuliaan dan hormat,	Ta’ kantos abit sareng Junandalem manossa epamandhaban dhari malaekat. Sareng Junandalem eparenge kadhudhugan se molja,
segala sesuatu telah Engkau taklukkan di bawah kaki-Nya." Sebab dalam menaklukkan segala sesuatu kepada-Nya, tidak ada suatupun yang Ia kecualikan, yang tidak takluk kepada-Nya. Tetapi sekarang ini belum kita lihat, bahwa segala sesuatu telah ditaklukkan kepada-Nya.	sareng epangobasae sadaja se badha." Daddi, manabi manossa ekoca’ ja’ sareng Allah "epangobasae sadaja se badha," ganeka artena tadha’ settonga e alam dunnya paneka se ta’ ekobasae manossa. Sanare sapaneka, sampeyan sareng kaula sadaja samangken paneka ta’ nengale manossa ngobasae sadajana se badha.
Tetapi Dia, yang untuk waktu yang singkat dibuat sedikit lebih rendah dari pada malaikat-malaikat, yaitu Yesus, kita lihat, yang oleh karena penderitaan maut, dimahkotai dengan kemuliaan dan hormat, supaya oleh kasih karunia Allah Ia mengalami maut bagi semua manusia.	Nangeng sampeyan sareng kaula sadaja ampon nengale Isa se daddi pangobasa. Salerana epamandhaban sakone’ dhari malaekat namong sakejja’, sopaja kalaban kasaeyannepon Allah Salerana bisa seda kaangguy sadajana manossa. Sampeyan sareng kaula nengale Salerana samangken eparenge kadhudhugan se molja ban kahormat polana Salerana nanggung sangsara kantos seda.
Sebab memang sesuai dengan keadaan Allah--yang bagi-Nya dan oleh-Nya segala sesuatu dijadikan--,yaitu Allah yang membawa banyak orang kepada kemuliaan, juga menyempurnakan Yesus, yang memimpin mereka kepada keselamatan, dengan penderitaan.	Pajat ampon sapantessa Allah — se nyepta’agi sadaja se badha paneka — abadhi Isa panyalamet se samporna lebat kasangsara’an. Kalaban ganeka Allah bisa ngajak oreng sabannya’na kaangguy noro’ eagungngagi asareng Isa. Sabab Isa ganeka se mokka’ jalan kaangguy manossa sopaja bisa epasalamet.
Sebab Ia yang menguduskan dan mereka yang dikuduskan, mereka semua berasal dari Satu; itulah sebabnya Ia tidak malu menyebut mereka saudara,	Isa maberse manossa dhari sa-dusana; ban Salerana se maberse, sareng reng-oreng se epaberse ganeka, kaagungan Rama se settong. Ganeka sababba Isa ta’ todhus ngako manossa taretanna.
kata-Nya: "Aku akan memberitakan nama-Mu kepada saudara-saudara-Ku, dan memuji-muji Engkau di tengah-tengah jemaat,"	Isa adhabu ka Allah, "Abdidalem mala’ana tan-taretan Abdidalem parkara Junandalem. Abdidalem mojiya Junandalem e dhalem kompolanna tan-taretan Abdidalem gapaneka."
dan lagi: "Aku akan menaruh kepercayaan kepada-Nya," dan lagi: "Sesungguhnya, inilah Aku dan anak-anak yang telah diberikan Allah kepada-Ku."	Isa adhabu jugan, "Sengko’ nyaba’a Tang pangarebban ka Allah." Ban adhabu sapaneka pole, "Areya’ Sengko’, abareng ban na’-ana’ paparengnga Allah ka Sengko’."
Karena anak-anak itu adalah anak-anak dari darah dan daging, maka Ia juga menjadi sama dengan mereka dan mendapat bagian dalam keadaan mereka, supaya oleh kematian-Nya Ia memusnahkan dia, yaitu Iblis, yang berkuasa atas maut;	Sarrena reng-oreng se sareng Isa esebbut ana’ ganeka mahlok manossa se bisa mate, Isa dibi’ daddi padha sareng manossa ban odhi’ e dhalem kabadha’an manossa. Salerana alampa’agi sapaneka sopaja kalaban sedana, Isa bisa maancor Iblis se ngobasae pate.
dan supaya dengan jalan demikian Ia membebaskan mereka yang seumur hidupnya berada dalam perhambaan oleh karena takutnya kepada maut.	Kalaban sapaneka Salerana mabebas reng-oreng se saomorra ekadunor polana tako’ ka pate.
Sebab sesungguhnya, bukan malaikat-malaikat yang Ia kasihani, tetapi keturunan Abraham yang Ia kasihani.	Nyata ja’ se etolong Salerana toronanna Ibrahim, banne malaekat.
Itulah sebabnya, maka dalam segala hal Ia harus disamakan dengan saudara-saudara-Nya, supaya Ia menjadi Imam Besar yang menaruh belas kasihan dan yang setia kepada Allah untuk mendamaikan dosa seluruh bangsa.	Ganeka artena Isa kodu daddi padha sareng tan-taretanna e dhalem parkara ponapa’a saos. Kalaban sapaneka Salerana bisa daddi Imam Agung se esto sarta bellas ase. Kalaban pangladinanna se sapaneka sa-dusana manossa bisa esapora.
Sebab oleh karena Ia sendiri telah menderita karena pencobaan, maka Ia dapat menolong mereka yang dicobai.	Ban sarrena Salerana dibi’ oneng nanggung kasangsara’an ban ecoba, Salerana bisa nolong reng-oreng se ekenneng coba, sabab Salerana dibi’ oneng ecoba ban nanggung sangsara.
Setelah pada zaman dahulu Allah berulang kali dan dalam pelbagai cara berbicara kepada nenek moyang kita dengan perantaraan nabi-nabi,	Gi’ dhimen li-baliyan Allah abu-dhabu ka bangatowana sampeyan sareng kaula sadaja kalaban parantara’anna bi-nabbi ngangguy cara se acem-macem.
maka pada zaman akhir ini Ia telah berbicara kepada kita dengan perantaraan Anak-Nya, yang telah Ia tetapkan sebagai yang berhak menerima segala yang ada. Oleh Dia Allah telah menjadikan alam semesta.	Nangeng e jaman samangken paneka Allah abu-dhabu ka sampeyan sareng kaula sadaja kalaban parantara’anna Pottrana. Kalaban parantara’anna Pottrana ganeka Allah nyepta’agi alam dunnya paneka. Ban Allah ampon nantowagi ja’ Pottrana ganeka se kaagungan ha’ ka sadajana se badha paneka.
Ia adalah cahaya kemuliaan Allah dan gambar wujud Allah dan menopang segala yang ada dengan firman-Nya yang penuh kekuasaan. Dan setelah Ia selesai mengadakan penyucian dosa, Ia duduk di sebelah kanan Yang Mahabesar, di tempat yang tinggi,	Salerana ganeka se nyonarragi kamolja’anna Allah se talebat rajana; Salerana ganeka gambarra Allah se nyata. Salerana se kalaban dhabuna se talebat kobasana meyara alam dunnya paneka kantos ta’ lowang. Saamponna Salerana marenge jalan ka manossa kaangguy epabebas dhari sa-dusana, Salerana ngalenggi’i korse pamarenta’anna e sowarga asareng Allah, Pangobasa se paleng tenggi.
jauh lebih tinggi dari pada malaikat-malaikat, sama seperti nama yang dikaruniakan kepada-Nya jauh lebih indah dari pada nama mereka.	Pottra ganeka narema kadhudhugan se atenggiyan dhari malaekat, ban asma se eparengngagi Allah ka Salerana jugan lebbi kahormat katembang asma se eparengngagi ka malaekat.
Karena kepada siapakah di antara malaikat-malaikat itu pernah Ia katakan: "Anak-Ku Engkau! Engkau telah Kuperanakkan pada hari ini?" dan "Aku akan menjadi Bapa-Nya, dan Ia akan menjadi Anak-Ku?"	Allah ta’ oneng adhabu sapaneka ka settonga malaekat, "Ba’na Tang ana’; e are teya Sengko’ daddi Ramana ba’na." Ta’ oneng jugan Allah adhabu sapaneka parkara malaekat se ka’dhimma’a jugan, "Sengko’ daddiya Ramana, ban aba’na daddiya Tang ana’."
Dan ketika Ia membawa pula Anak-Nya yang sulung ke dunia, Ia berkata: "Semua malaikat Allah harus menyembah Dia."	Nangeng e bakto Allah ngotos Pottrana se sareyang ka dunnya paneka, Allah adhabu sapaneka, "Sakabbiyanna malaekadda Allah wajib nyemba ka Pottra jareya."
Dan tentang malaikat-malaikat Ia berkata: "Yang membuat malaikat-malaikat-Nya menjadi badai dan pelayan-pelayan-Nya menjadi nyala api."	Parkara kat-malaekadda Allah adhabu sapaneka, "Bi’ Allah kat-malaekadda epadaddi angen, dineng din-pangladinna epadaddi apoy."
Tetapi tentang Anak Ia berkata: "Takhta-Mu, ya Allah, tetap untuk seterusnya dan selamanya, dan tongkat kerajaan-Mu adalah tongkat kebenaran.	Tape ka Pottra ka’issa’, Allah adhabu, "Tahtaepon Junandalem, Guste Allah, bakal langgengnga salanjangnga! Pamarenta’annepon Junandalem pamarenta’an se adil.
Engkau mencintai keadilan dan membenci kefasikan; sebab itu Allah, Allah-Mu telah mengurapi Engkau dengan minyak sebagai tanda kesukaan, melebihi teman-teman sekutu-Mu."	Junandalem lebur ka kaadilan, sareng baji’ ka karoceyan; lantaran gapaneka, Allah, Allahepon Junandalem mele Junandalem ban marenge Junandalem kahormadan se madhateng kagumbira’an, ngalebbi’i ca-kancaepon Junandalem."
Dan: "Pada mulanya, ya Tuhan, Engkau telah meletakkan dasar bumi, dan langit adalah buatan tangan-Mu.	Allah jugan adhabu, "Junandalem, Pangeran, dha’-adha’na nyepta’agi bume, ban Junandalem dibi’ se abadhi langnge’.
Semuanya itu akan binasa, tetapi Engkau tetap ada, dan semuanya itu akan menjadi usang seperti pakaian;	Sadajana bakal mosna’a, daddiya laju akadi rasogan; nangeng Junandalem paggun ta’ kera aoba.
seperti jubah akan Engkau gulungkan mereka, dan seperti persalinan mereka akan diubah, tetapi Engkau tetap sama, dan tahun-tahun-Mu tidak berkesudahan."	Alam dunnya ka’dhinto’ sareng Junandalem bakal epelko’a epakadi rasogan, ban badhi eganteyana se laen. Nangeng Junandalem tadha’ obana, ban odhi’epon Junandalem tadha’ aherra."
Dan kepada siapakah di antara malaikat itu pernah Ia berkata: "Duduklah di sebelah kanan-Ku, sampai Kubuat musuh-musuh-Mu menjadi tumpuan kaki-Mu?"	Allah ta’ oneng adhabu sapaneka ka malaekat sanare settonga, "Mara toju’ e kanganna Sengko’ reya, sampe’ so-mosona ba’na bi’ Sengko’ epanyemba ka ba’na."
Bukankah mereka semua adalah roh-roh yang melayani, yang diutus untuk melayani mereka yang harus memperoleh keselamatan?	Manabi sapaneka, kat-malaekat gapaneka ponapa sabendherra? Kat-malaekat ganeka roh-erroh se aladine Allah, ban se epakon Allah nolonge reng-oreng se narema’a kasalameddan.
