Tiga tahun lamanya orang tinggal aman dengan tidak ada perang antara Aram dan Israel.	Dhu taon lebbi tadha’ perrang e antarana Isra’il ban Siria.
Demikianlah Hiram memberikan kayu aras dan kayu sanobar kepada Salomo seberapa yang dikehendakinya.	Daddi Hiram ngereme Sulaiman kaju comara Libanon ban kaju comara biyasa, bannya’na menorot se ekaparlo ban Sulaiman.
Lalu Salomo memberikan kepada Hiram dua puluh ribu kor gandum, bahan makanan bagi seisi istananya dan dua puluh kor minyak tumbuk; demikianlah diberikan Salomo kepada Hiram tahun demi tahun.	Ban kaangguy makane reng-oreng saessena karatonna Hiram, sabban taonna Sulaiman ngeremmagi ka Hiram gandum bannya’na tello ratos dhu lekor ebu lema ratos kilo ban mennya’ jaitun asli bannya’na pa’ ebu pa’ ratos liter.
Dan TUHAN memberikan hikmat kepada Salomo seperti yang dijanjikan-Nya kepadanya; maka damaipun ada antara Hiram dan Salomo, lalu mereka berdua mengadakan perjanjian.	PANGERAN neptebbi janjina sarta apareng kabicaksana’an ka Sulaiman. Hubunganna Hiram ban Sulaiman becce’ terros, se kadhuwa jareya mabadha parjanjiyan parsahabadan.
Raja Salomo mengerahkan orang rodi dari antara seluruh Israel, maka orang rodi itu ada tiga puluh ribu orang.	Rato Sulaiman makompol oreng lalake’an dhari saantero nagara Isra’il, bannya’na tello polo ebu oreng epalako rodhi,
Ia menyuruh mereka ke gunung Libanon, sepuluh ribu orang dalam sebulan berganti-ganti: selama sebulan mereka ada di Libanon, selama dua bulan di rumah. Adoniram menjadi kepala rodi.	sarta mele Adoniram se epadaddi pangawassa. Reng-oreng jareya ebagi epadaddi tello galumpo’, bang-sebangnga bannya’na sapolo ebu oreng. Reng-oreng se tello galumpo’ jareya elir-gilir sabulan neng e Libanon ban dhu bulan neng e bengkona.
Lagipula Salomo mempunyai tujuh puluh ribu kuli dan delapan puluh ribu tukang pahat di pegunungan,	Sulaiman malako oreng ballung polo ebu bannya’na epamathel bato dhari gunong ban oreng pettong polo ebu bannya’na epangangko’ bato jareya,
belum terhitung para mandur kepala Salomo yang mengepalai pekerjaan itu, yakni tiga ribu tiga ratus orang banyaknya, yang mengawasi rakyat yang mengerjakan pekerjaan itu.	sarta ngangkat mandhur tello ebu tello ratos oreng, epangawase lakona reng-oreng jareya.
Dan raja memerintahkan supaya mereka melinggis batu yang besar, batu yang mahal-mahal untuk membuat dasar rumah itu dari batu pahat.	Kalaban dhabuna rato jareya keya reng-oreng gella’ mathel bato se ja-raja ban gus-bagus se egabaya dhasarra Padalemman Socce.
Maka tukang-tukang Salomo dan tukang-tukang Hiram serta orang-orang Gebal memahat dan menyediakan kayu dan batu untuk mendirikan rumah itu.	Daddi li-kolina Sulaiman ban Hiram sarta reng-oreng dhari kottha Gebal nyadhiya’agi bato ban kaju se ekagagabaya Padalemman Socce.
Maka Salomo menjadi raja atas seluruh Israel. Inilah para pembesarnya: Azarya bin Zadok menjadi imam; Elihoref dan Ahia, anak-anak Sisa menjadi panitera negara; Yosafat bin Ahilud menjadi bendahara  negara; Benaya bin Yoyada menjadi panglima; Zadok dan Abyatar menjadi imam.	Sulaiman jumenneng rato e sanagara Isra’il. Areya’ om-kaom oreng agung se eangkat bi’ Sulaiman: Mam-imam: Zadok, Azarya pottrana Zadok, Abyatar; Sekettarissa nagara: Elihoref ban Ahiya, iya areya tra-pottrana Sisiya; Bendaharana nagara: Yosafat, pottrana Ahilud; Panglimana angkadan perrangnga: Benaya, pottrana Yoyada
Azarya bin Natan mengawasi para kepala daerah; Zabut bin Natan, seorang imam, menjadi sahabat raja;	Pangawassa para bupati: Azarya, pottrana Natan; Panasehadda rato: Imam Zabud, pottrana Natan;
Ahisar menjadi kepala istana; Adoniram bin Abda menjadi kepala rodi.	Kapalana roma tatanggana karaton: Ahisar; Kapalana li-koli rodhi: Adoniram, ana’na Abda.
Salomo mempunyai dua belas orang kepala daerah atas seluruh Israel yang harus menjamin makanan raja dan seisi istananya: adalah tanggungan tiap-tiap kepala daerah untuk menjamin makanan selama sebulan dalam setahun.	Sulaiman ngangkat bupati dhubellas oreng e sanagara Isra’il. Kawajibanna ti-bupati jareya makompol dhari baba kakobasa’anna bang-sebang bahan kakanan se ekaparlo rato ban saessena karaton. Saneyap bupati alir-gilir wajib nyadhiya’agi kabutowan jareya sabulan abidda e dhalem sataon.
Inilah nama-nama mereka: Ben-Hur di pegunungan Efraim; Ben-Deker di Makas, di Saalbim, di Bet-Semes dan di Elon-Bet-Hanan; Ben-Hesed di Arubot; wilayahnya ialah Sokho dan seluruh tanah Hefer; Ben-Abinadab memegang seluruh tanah bukit Dor, dan Tafat binti Salomo menjadi isterinya; Baana bin Ahilud memegang Taanakh, Megido dan seluruh Bet-Sean yang di sebelah Sartan di sebelah hilir Yizreel, dari Bet-Sean sampai Abel-Mehola sampai ke seberang Yokmeam. Selanjutnya Ben-Geber di Ramot-Gilead; wilayahnya ialah Hawot-Yair yang di Gilead; Yair ialah anak Manasye. Juga wilayah Argob yang di Basan dipegangnya, enam puluh kota besar, berpagar tembok dan berpalang pintu tembaga; Ahinadab bin Ido memegang Mahanaim. Selanjutnya Ahimaas di Naftali; ia juga mengambil seorang anak Salomo menjadi isterinya, yakni Basmat. Selanjutnya Baana bin Husai di Asyer dan di Alot. Lalu Yosafat bin Paruah di Isakhar dan Simei bin Ela di Benyamin. Geber bin Uri di tanah Gilead memegang tanah Sihon, raja orang Amori, dan tanah Og, raja Basan; dan dialah satu-satunya kepala daerah yang ada di tanah itu.	Bupati se dhubellas oreng jareya ekapalae gubennor. Areya’ asmana para bupati jareya ban baba kakobasa’anna bang-sebang: Ben-Hur: dhaera pagunongan Efraim, Ben-Deker: kottha Makas, Sa’albim, Bet-Semes, Elon, Bet-Hanan, Ben-Hesed: kottha Arubot, Sokho, ban saantero dhaera Hefer, Ben-Abinadab, rakana Tafat pottrena Sulaiman: saantero dhaera Dor, Ba’ana pottrana Ahilud: kottha Ta’anakh, Megido, ban saantero dhaera e seddi’anna Bet-Seyan, e seddi’na kottha Sartan e lao’na kottha Yizre’el sampe’ gan kottha Abel-Mehola ban kottha Yokmeyam. Ben-Geber: kottha Ramot e Gileyad, pong-kampong e Gileyad andhi’na kaom Ya’ir toronanna Manasye, dhaerana Argob e Basan; bannya’na kabbi badha sabidak kottha raja se epakowat bi’ binteng ban lang-palang paronggu e bang-labang sakethengnga, Ahinadab pottrana Ido: dhaera Mahana’im Ahima’as, lakena Basmat pottrena Sulaiman: dhaera Naftali, Ba’ana pottrana Husai: dhaera Asyer, kottha Alot, Yosafat pottrana Paruwah; dhaera Isakhar, Simei pottrana Ela: dhaera Benyamin, Geber pottrana Uri; dhaera Gileyad, se lamba’ ekobasae Sihon rato Amori, ban Og rato Basan.
Orang Yehuda dan orang Israel jumlahnya seperti pasir di tepi laut. Mereka makan dan minum serta bersukaria.	Ra’yat Yehuda ban Isra’il bannya’na akantha beddhi e penggir tase’. Kakan ban nom-enomanna cokop, odhi’na senneng.
Maka Salomo berkuasa atas segala kerajaan mulai dari sungai Efrat sampai negeri orang Filistin dan sampai ke tapal batas Mesir. Mereka menyampaikan upeti dan tetap takluk kepada Salomo seumur hidupnya. Adapun persediaan makanan yang diperlukan Salomo untuk sehari ialah tiga puluh kor tepung yang terbaik dan enam puluh kor tepung biasa, sepuluh ekor lembu gemukan dan dua puluh lembu gembalaan dan seratus ekor domba, belum terhitung rusa, kijang, rusa dandi dan gangsa piaraan, sebab ia berkuasa atas seluruh tanah di sebelah sini sungai Efrat, mulai dari Tifsah sampai ke Gaza, dan atas semua raja di sebelah sini sungai Efrat; ia dikaruniai damai di seluruh negerinya, sehingga orang Yehuda dan orang Israel diam dengan tenteram, masing-masing di bawah pohon anggur dan pohon aranya, dari Dan sampai Bersyeba seumur hidup Salomo.	Saneyap kalowarga andhi’ kebbun anggur ban kebbun ara. Saomorra Sulaiman ra’yat sa Yehuda ban sa Isra’il dhari Dan sampe’ ka Bersyeba odhi’na aman ban taremtem. Sabab, to-rato e bara’na Efrat padha atellok kabbi ka salerana, ban sa-bangsa dhari ra-nagara e sabingkerra karaja’anna akanca ban salerana. Tana e bara’anna Songay Efrat dhari Tifsah e penggirra Songay Efrat terros ka bara’ ka kottha Gaza e Filistin sampe’ ka batessa Messer, ekobasae Sulaiman kabbi. Sa-bangsa e nagara jareya atellok ka salerana ban majar pesse opet. Han-bahan kakanan se ekaparlo Sulaiman sabban arena iya areya teppong alos lema ebu liter, teppong kasar sapolo ebu liter, sape kandhang sapolo meggi’, sape teggal dhu polo meggi’, ban dumba saratos meggi’. Laen dhari jareya gi’ kodu esadhiya’agi keya manjangan, keddang ban sabangsana ajam etek.
Lagipula Salomo mempunyai kuda empat puluh ribu kandang untuk kereta-keretanya dan dua belas ribu orang berkuda.	Sulaiman kaagungan tantara jaran bannya’na dhubellas ebu ban kandhang bannya’na pa’ polo ebu meggi’ se egabay kennengnganna ran-jaran se narek ta-karetana.
Dan para kepala daerah itu menjamin makanan raja Salomo serta semua orang yang ikut makan dari meja raja Salomo. Mereka membawanya masing-masing dalam bulan gilirannya dengan tidak mengurangi sesuatu apapun.	Saneyap bupati alir-gilir sabulan ebang ngatorragi bahan kakanan kaangguy Rato Sulaiman ban reng-oreng se narema cato kakan dhari karaton, sampe’ kabbi padha tadha’ se kakorangan pa-apa.
Jelai dan jerami untuk kuda-kuda biasa dan kuda-kuda teji dibawa mereka ke tempat yang semestinya, masing-masing menurut tanggungannya.	Saneyap bupati jareya ngatorragi keya gandum ban darameyan kaangguy pakanna sakabbinna jaranna Sulaiman, iya areya ran-jaran tompa’an ban ran-jaran se epanarek kareta. Pakanna ban-keban jareya egiba ka dhang-kandhangnga jaran jareya, bannya’na menorot kabutowanna.
Dan Allah memberikan kepada Salomo hikmat dan pengertian yang amat besar, serta akal yang luas seperti dataran pasir di tepi laut,	Allah marenge Sulaiman kabicaksana’an se lowar biyasa, ban pangarteyan se lowar biyasa, bariya keya pangataowan se talebat dhalemma.
sehingga hikmat Salomo melebihi hikmat segala bani Timur dan melebihi segala hikmat orang Mesir.	E ra-nagara e temor ban e Messer tadha’ oreng settonga se apenterran dhari salerana.
Ia lebih bijaksana dari pada semua orang, dari pada Etan, orang Ezrahi itu, dan dari pada Heman, Kalkol dan Darda, anak-anak Mahol; sebab itu ia mendapat nama di antara segala bangsa sekelilingnya.	Sulaiman jareya bendher oreng se paleng penter dhari sakabbinna oreng: alebbiyan dhari Etan oreng Ezrahi, Heman, Kalkol ban Darda na’-ana’na Mahol. Asmana Sulaiman kasohor e man-dhimman e ra-nagara sakalenglengnga karaja’anna.
Ia menggubah tiga ribu amsal, dan nyanyiannya ada seribu lima.	Karanganna aropa parebasan tello ebu meggi’ ban nyanyeyan lebbi dhari saebu macem.
Ia bersajak tentang pohon-pohonan, dari pohon aras yang di gunung Libanon sampai kepada hisop yang tumbuh pada dinding batu; ia berbicara juga tentang hewan dan tentang burung-burung dan tentang binatang melata dan tentang ikan-ikan.	Sulaiman bisa abu-dhabu parkara ka’-bungka’an ban men-tamennan — molae dhari bungkana comara Libanon sampe’ ka ba-rebba kot-lokot se tombu e dhung-geddhung bato. Bariya keya parkara ban-keban akantha ompamana mano’, reptil ban juko’.
Maka datanglah orang dari segala bangsa mendengarkan hikmat Salomo, dan ia menerima upeti dari semua raja-raja di bumi, yang telah mendengar tentang hikmatnya itu.	To-rato sadunnya padha meyarsa parkara kapenterranna Sulaiman sampe’ kabbi padha ngotos oreng se esoro ngedhingngagi pa-apa se edhabuwagi Sulaiman jareya.
Lalu Salomo menjadi menantu Firaun, raja Mesir; ia mengambil anak Firaun, dan membawanya ke kota Daud, sampai ia selesai mendirikan istananya dan rumah TUHAN dan tembok sekeliling Yerusalem.	Rato Sulaiman asakutu ban Messer kalaban cara araji pottrena rato Messer. Pottre jareya bi’ Sulaiman ebakta ka Kottha Daud epalenggiya e jadhiya sampe’ samarena karatonna rato ban Padalemman Socce sarta binteng e sabingkerra Yerusalim se teppa’na epaddek.
Hanya, bangsa itu masih mempersembahkan korban di bukit-bukit pengorbanan, sebab belum ada didirikan rumah untuk nama TUHAN sampai pada waktu itu.	Sarrena Padalemman Socce gi’ ta’ mare epaddek, ra’yat gi’ ngatorragi kurban e man-dhimman.
Dan Salomo menunjukkan kasihnya kepada TUHAN dengan hidup menurut ketetapan-ketetapan Daud, ayahnya; hanya, ia masih mempersembahkan korban sembelihan dan ukupan di bukit-bukit pengorbanan.	Sulaiman taresna ka PANGERAN ban atoro’ ka sabarang babala’anna ramana, tape gi’ nyambelli ban ngatorragi kurban neng e man-dhimman.
Pada suatu hari raja pergi ke Gibeon untuk mempersembahkan korban, sebab di situlah bukit pengorbanan yang paling besar; seribu korban bakaran dipersembahkan Salomo di atas mezbah itu.	Kennengnganna kabakteyan se paleng kasohor badha e Gibeyon. Sulaiman seggut ngatorragi kurban e jadhiya. E settong are, akantha biyasana, Sulaiman meyos ka jadhiya pole.
Di Gibeon itu TUHAN menampakkan diri kepada Salomo dalam mimpi pada waktu malam. Berfirmanlah Allah: "Mintalah apa yang hendak Kuberikan kepadamu."	E malem jareya PANGERAN ngaton ka salerana e dhalem sopennana pas adhabu, "Sulaiman, mara ngoca’ apa se epenta’a ba’na, bi’ Sengko’ tanto eberri’i!"
Lalu Salomo berkata: "Engkaulah yang telah menunjukkan kasih setia-Mu yang besar kepada hamba-Mu Daud, ayahku, sebab ia hidup di hadapan-Mu dengan setia, benar dan jujur terhadap Engkau; dan Engkau telah menjamin kepadanya kasih setia yang besar itu dengan memberikan kepadanya seorang anak yang duduk di takhtanya seperti pada hari ini.	Saodda Sulaiman, "GUSTE, Junandalem ampon noduwagi manabi Junandalem talebat taresna ka rama abdidalem Daud, abdiepon Junandalem ka’dhissa’. Rama abdidalem sae, jujur, sareng esto ka Junandalem. Sarengngan pole menangka tanggungan manabi Junandalem saterrossa taresna ka salerana, sareng Junandalem rama eparenge pottra se samangken ka’dhinto marenta agante salerana.
Maka sekarang, ya TUHAN, Allahku, Engkaulah yang mengangkat hamba-Mu ini menjadi raja menggantikan Daud, ayahku, sekalipun aku masih sangat muda dan belum berpengalaman.	Guste Allah, PANGERAN kaula, sareng Junandalem abdidalem epadaddi rato agante rama, sanare abdidalem gi’ ce’ kana’na sareng gi’ ta’ oneng kadi ponapa caraepon marenta.
Demikianlah hamba-Mu ini berada di tengah-tengah umat-Mu yang Kaupilih, suatu umat yang besar, yang tidak terhitung dan tidak terkira banyaknya.	Abdidalem badha e nga’-tengnga’annepon bangsa se sareng Junandalem epele ebadhi ommattepon Junandalem dibi’, bangsa se ta’ kabilang bannya’epon.
Maka berikanlah kepada hamba-Mu ini hati yang faham menimbang perkara untuk menghakimi umat-Mu dengan dapat membedakan antara yang baik dan yang jahat, sebab siapakah yang sanggup menghakimi umat-Mu yang sangat besar ini?"	Daddi GUSTE, parenge abdidalem kabicaksana’an se ekaparlo sareng abdidalem kaangguy marenta ommattepon Junandalem ka’dhinto kalaban adil sarengngan sopaja abdidalem onenga abida’agi barang se sae sareng se juba’. Manabi bunten, kadi ponapa abdidalem se bisa’a marenta ommattepon Junandalem se ce’ bannya’na ka’dhinto."
Lalu adalah baik di mata Tuhan bahwa Salomo meminta hal yang demikian.	Pangeran senneng meyarsa parnyo’onanna Sulaiman jareya,
Jadi berfirmanlah Allah kepadanya: "Oleh karena engkau telah meminta hal yang demikian dan tidak meminta umur panjang atau kekayaan atau nyawa musuhmu, melainkan pengertian untuk memutuskan hukum,	sarta pas adhabu kantha reya ka Sulaiman, "Sarrena se epenta ba’na kabicaksana’an sopaja ba’na bisa’a marenta kalaban adil, banne menta lanjang omor ban kasogiyan kaangguy ba’na dibi’ otabana menta sopaja so-mosona ba’na mateya kabbi,
maka sesungguhnya Aku melakukan sesuai dengan permintaanmu itu, sesungguhnya Aku memberikan kepadamu hati yang penuh hikmat dan pengertian, sehingga sebelum engkau tidak ada seorangpun seperti engkau, dan sesudah engkau takkan bangkit seorangpun seperti engkau.	apa se epenta ba’na jareya bi’ Sengko’ ekabbulana. Bi’ Sengko’ ba’na epadaddiya oreng se lebbi bicaksana ban lebbi penter dhari sapa’a bai, tadha’ oreng e dunnya reya se odhi’ e jaman lamba’ ban e jaman se bakal dhateng se nandhinge kabicaksana’anna ban kapenterranna ba’na.
Dan juga apa yang tidak kauminta Aku berikan kepadamu, baik kekayaan maupun kemuliaan, sehingga sepanjang umurmu takkan ada seorangpun seperti engkau di antara raja-raja.	La’-mala’ bi’ Sengko’ ba’na eberri’ana keya pa-apa se ta’ epenta bi’ ba’na: saomorra ba’na bakal daddiya oreng sogi ban ehormadi oreng, alebbiyan dhari rato se kemma’a bai.
Dan jika engkau hidup menurut jalan yang Kutunjukkan dan tetap mengikuti segala ketetapan dan perintah-Ku, sama seperti ayahmu Daud, maka Aku akan memperpanjang umurmu."	Ban mon ba’na padha ban ramana ba’na Daud, ta’at ka Sengko’ ban ajalannagi Tang kom-hokom se etantowagi bi’ Sengko’ sarta atoro’ ka sakabbinna Tang parenta, bi’ Sengko’ ba’na epalanjanga omor."
Lalu terjagalah Salomo; ternyata ia bermimpi. Sekembalinya ke Yerusalem, berdirilah ia di hadapan tabut perjanjian Tuhan, dipersembahkannya korban-korban bakaran dan korban-korban keselamatan, kemudian ia mengadakan perjamuan bagi semua pegawainya.	Sulaiman abungo sarta pas apangrasa ja’ Pangeran la abu-dhabu ka salerana e dhalem sopennana. Sulaiman pas abali ka Yerusalim sarta pas ngadek e adha’na Petthe Parjanjiyanna Pangeran sarta ngatorragi kurban obbaran ban kurban karokonan. Saellana jareya pas mabadha salameddan kaangguy sakabbinna ponggabana.
Pada waktu itu masuklah dua orang perempuan sundal menghadap raja, lalu mereka berdiri di depannya.	E settong are badha sondel kadhuwa entar ngadhep ka Rato Sulaiman.
Kata perempuan yang satu: "Ya tuanku! aku dan perempuan ini diam dalam satu rumah, dan aku melahirkan anak, pada waktu dia ada di rumah itu. Kemudian pada hari ketiga sesudah aku, perempuan inipun melahirkan anak; kami sendirian, tidak ada orang luar bersama-sama kami dalam rumah, hanya kami berdua saja dalam rumah.	Se settong mator kantha reya, "Guste, abdidalem sareng babine’ ka’dhinto apolong sacompo’; namong kadhuwa’an, tadha’ oreng laenna. Gi’ buruwan ka’dhinto, abdidalem rembi’ lalake’. Ella’ dhu are aggi’ babine’ ka’dhinto rembi’ lalake’ jugan.
Pada waktu malam anak perempuan ini mati, karena ia menidurinya.	E settong malem e bakto abdidalem sareng babine’ ka’dhinto kalerressan padha tedhung, babine’ ka’dhinto abali’, ana’epon ekenneng kacecce’e kantos mate.
Pada waktu tengah malam ia bangun, lalu mengambil anakku dari sampingku; sementara hambamu ini tidur, dibaringkannya anakku itu di pangkuannya, sedang anaknya yang mati itu dibaringkannya di pangkuanku.	E tengnga malem e bakto abdidalem kalerressan gi’ tedhung, babine’ ka’dhinto ngala’ ana’ abdidalem dhari seddi’an abdidalem. Ana’ abdidalem pas esaba’ e katedhunganna, ana’na dibi’ se ampon mate esaba’ e katedhungan abdidalem.
Ketika aku bangun pada waktu pagi untuk menyusui anakku, tampaklah anak itu sudah mati, tetapi ketika aku mengamat-amati dia pada waktu pagi itu, tampaklah bukan dia anak yang kulahirkan."	Kalagguwannepon, e bakto abdidalem ngedhing, nyepsebbana ana’ abdidalem, abdidalem manggi’i kana’ ka’dhinto ampon mate. Saamponna edeng-pandeng sareng abdidalem, abdidalem pas oneng manabi babaji’ gapaneka banne ana’ abdidalem."
Kata perempuan yang lain itu: "Bukan! anakkulah yang hidup dan anakmulah yang mati." Tetapi perempuan yang pertama berkata pula: "Bukan! anakmulah yang mati dan anakkulah yang hidup." Begitulah mereka bertengkar di depan raja.	"Lecek!" ca’na babine’ settonganna, "Se odhi’ reya tang ana’, se mate ana’na ba’na!" "Enja’!" ca’na babine’ se nomer settong. "Se mate ana’na ba’na, se odhi’ tang ana’!" Daddi se kadhuwa jareya atokar e ajunanna rato.
Lalu berkatalah raja: "Yang seorang berkata: Anakkulah yang hidup ini dan anakmulah yang mati. Yang lain berkata: Bukan! Anakmulah yang mati dan anakkulah yang hidup."	Dhabuna Rato Sulaiman, "Ba’na padha ngako ja’ ana’na ba’na se odhi’, banne se mate."
Sesudah itu raja berkata: "Ambilkan aku pedang," lalu dibawalah pedang ke depan raja.	Saellana adhabu kantha jareya Sulaiman makon oreng ngala’ peddhang.
Kata raja: "Penggallah anak yang hidup itu menjadi dua dan berikanlah setengah kepada yang satu dan yang setengah lagi kepada yang lain."	Saellana jareya rato apareng papakon kantha reya, "Ketthok padhuwa babaji’ se gi’ odhi’ jareya, bagi ka babine’ se kadhuwa jareya satogel ebang."
Maka kata perempuan yang empunya anak yang hidup itu kepada raja, sebab timbullah belas kasihannya terhadap anaknya itu, katanya: "Ya tuanku! Berikanlah kepadanya bayi yang hidup itu, jangan sekali-kali membunuh dia." Tetapi yang lain itu berkata: "Supaya jangan untukku ataupun untukmu, penggallah!"	Ngedhing dhabuna rato se kantha jareya, ebuna babaji’ se sabendherra mator, "Ampon, guste, ja’ pate’e. Diggal parengngagi saos ka babine’ ka’dhinto." Babine’ jareya ngoca’ cara jareya amarga ce’ neserra ka ana’na. Tape babine’ settonganna se banne ebuna se sabendherra jarowa mator kantha reya, "Ketthok saos, olle abdidalem sareng babine’ ka’dhinto padha ta’ ngaolle babaji’ ka’dhinto."
Tetapi raja menjawab, katanya: "Berikanlah kepadanya bayi yang hidup itu, jangan sekali-kali membunuh dia; dia itulah ibunya."	Dhabuna Rato Sulaiman, "Ella ja’ pate’e babaji’ jareya! Bagi ka babine’ se acaca dha’-adha’ gella’ — jareya se bendher ebuna."
Ketika seluruh orang Israel mendengar keputusan hukum yang diberikan raja, maka takutlah mereka kepada raja, sebab mereka melihat, bahwa hikmat dari pada Allah ada dalam hatinya untuk melakukan keadilan.	E bakto bangsa Isra’il ngedhing kapotosanna Sulaiman e dhalem parkara buru, kabbi padha kasambu’ ban hormat ka salerana. Sabab, la terrang ja’ Allah apareng hikmat ka Sulaiman sopaja adila e dhalem pamarenta’anna.
Ketika saat kematian Daud mendekat, ia berpesan kepada Salomo, anaknya:	E bakto la para’ seda’a, Daud adikane Sulaiman, pottrana, sarta apareng sen-pessenna se dhi-budhi. Dhabuna,
"Aku ini akan menempuh jalan segala yang fana, maka kuatkanlah hatimu dan berlakulah seperti laki-laki.	"Sengko’ la para’ mateya. Ba’na pakoko ban pabangal atena.
Lakukanlah kewajibanmu dengan setia terhadap TUHAN, Allahmu, dengan hidup menurut jalan yang ditunjukkan-Nya, dan dengan tetap mengikuti segala ketetapan, perintah, peraturan dan ketentuan-Nya, seperti yang tertulis dalam hukum Musa, supaya engkau beruntung dalam segala yang kaulakukan dan dalam segala yang kautuju,	Lakone sabarang se edhabuwagi GUSTE Allah ka ba’na. Ta’adi kom-hokomma ban kon-papakonna se badha e dhalem ketab Mosa, sopaja entar dha’ emma’a bai ba’na eparenge ahasel e dhalem sabarang usahana.
dan supaya TUHAN menepati janji yang diucapkan-Nya tentang aku, yakni: Jika anak-anakmu laki-laki tetap hidup di hadapan-Ku dengan setia, dengan segenap hati dan dengan segenap jiwa, maka keturunanmu takkan terputus dari takhta kerajaan Israel.	Mon ba’na ta’at ka PANGERAN, PANGERAN tanto neptebbi janjina ja’ tang toronan bakal marenta’a Isra’il, sokor esto ka papakonna sampe’ ka dhalem atena ban pekkeranna.
Dan lagi engkaupun mengetahui apa yang dilakukan kepadaku oleh Yoab, anak Zeruya, apa yang dilakukannya kepada kedua panglima Israel, yakni Abner bin Ner dan Amasa bin Yeter. Ia membunuh mereka dan menumpahkan darah dalam zaman damai seakan-akan ada perang, sehingga sabuk pinggangnya dan kasut kakinya berlumuran darah.	Badha settong parkara pole! Ba’na tanto enga’ apa se elakowagi Yowab ka sengko’ kalaban mate’e parwira Isra’il se kadhuwa iya areya Abner ana’na Ner ban Amasa ana’na Yeter. Yowab mate’e se kadhuwa jareya e jaman se taremtem menangka babales ka se kadhuwa jareya polana mate’e reng-oreng e jaman perrang. Yowab mate’e oreng se ta’ sala, tape sateya sengko’ se kodu nanggung lalakonna jareya ban sengko’ se nanggung kasossa’an.
Maka bertindaklah dengan bijaksana dan janganlah biarkan yang ubanan itu turun dengan selamat ke dalam dunia orang mati.	Daddi, na’, jalannagi ka oreng jareya apa se bi’ ba’na eanggep becce’; coma ja’ sampe’ oreng jareya epanneng mate akantha kapprana oreng biyasa.
Tetapi kepada anak-anak Barzilai, orang Gilead itu, haruslah kautunjukkan kemurahan hati. Biarlah mereka termasuk golongan yang mendapat makanan dari mejamu, sebab merekapun menunjukkan kesetiaannya dengan menyambut aku pada waktu aku melarikan diri dari depan kakakmu Absalom.	Tape ba’na kodu becce’ ka ana’ lalake’anna Barzilai oreng Gileyad rowa. Genna’e kabutowanna re-saarena, sabab reng-oreng jareya becce’ ka sengko’ e bakto sengko’ buru dhari kaka’na ba’na, Absalom.
Juga masih ada padamu Simei bin Gera, orang Benyamin, dari Bahurim. Dialah yang mengutuki aku dengan kutuk yang kejam pada waktu aku pergi ke Mahanaim, tetapi kemudian ia datang menyongsong aku di sungai Yordan dan aku telah bersumpah kepadanya demi TUHAN: Takkan kubunuh engkau dengan pedang!	Badha pole se epessennagiya sengko’ parkara Simei ana’na Gera oreng dhari kottha Bahurim e dhaera Benyamin rowa. E dhalem tang parjalanan ka Mahana’im, Simei jareya abasto sengko’ bat-talebat. Tape saellana jareya, iya areya e bakto Simei noro’ ngamba’ sengko’ e Songay Yordan, sengko’ la asompa ka Simei bit asmana PANGERAN ja’ sengko’ ta’ mateyana Simei jareya.
Sekarang janganlah bebaskan dia dari hukuman, sebab engkau seorang yang bijaksana dan tahu apa yang harus kaulakukan kepadanya untuk membuat yang ubanan itu turun dengan berdarah ke dalam dunia orang mati."	Tape areya’ tang pessen ka ba’na: ja’ sampe’ Simei jareya epalopot dhari okoman. Sengko’ tao ja’ ba’na reya bicaksana; daddi, maske Simei la towa, ehteyarragi sopaja eokom mate."
Kemudian Daud mendapat perhentian bersama-sama nenek moyangnya, dan ia dikuburkan di kota Daud.	Saellana jareya Daud seda pas esareyagi e Kottha Daud.
Dan Daud memerintah orang Israel selama empat puluh tahun; di Hebron ia memerintah tujuh tahun, dan di Yerusalem ia memerintah tiga puluh tiga tahun.	Daud jumenneng rato Isra’il pa’ polo taon abidda: pettong taon alenggi e Hebron, tello polo tello’ taon e Yerusalim.
Salomo duduk di atas takhta Daud, ayahnya, dan kerajaannya sangat kokoh.	Saellana jareya Sulaiman jumenneng rato agante Daud, ramana. Kakobasa’anna Sulaiman menangka rato ce’ kowadda.
Pada suatu hari Adonia, anak Hagit, masuk menghadap Batsyeba, ibu Salomo, lalu perempuan itu berkata: "Apakah engkau datang dengan maksud damai?" Jawabnya: "Ya, damai!"	E settong are Adoniya, se ebuna anyama Hagit, nyabis ka Batsyeba, ebuna Sulaiman. Batsyeba atanya ka Adoniya, "Apa ba’na dhateng dha’ enna’ reya kalaban maksod becce’?"
Kemudian katanya: "Ada sesuatu yang hendak kukatakan kepadamu." Jawab perempuan itu: "Katakanlah!"	"Enggi," ca’na Adoniya, "Badha se eso’ona abdina ka panjennengngan." "Apa jareya?" dhabuna Batsyeba.
Lalu katanya: "Engkau sendiri tahu bahwa akulah yang berhak atas kedudukan raja, dan bahwa seluruh Israel mengharapkan, supaya aku menjadi raja; tetapi sebaliknya kedudukan raja jatuh kepada adikku, sebab dari Tuhanlah ia mendapatnya.	Atorra Adoniya, "Panjennengngan ngagali manabi abdina se koduna daddi rato; sadajana oreng Isra’il ngarep sapaneka. Namong kadaddiyana sabaligga; se daddi rato ale’ abdina, sabab kadi gapaneka kasokanna PANGERAN.
