Pada mulanya Allah menciptakan langit dan bumi.	E bakto Allah nyepta’agi alam dunnya,
Sesudah itu Yusuf memerintahkan, bahwa tempat gandum mereka akan diisi dengan gandum dan bahwa uang mereka masing-masing akan dikembalikan ke dalam karungnya, serta bekal mereka di jalan akan diberikan kepada mereka. Demikianlah dilakukan orang kepada mereka itu.	Yusup makon sopaja rong-karong andhi’na tan-taretanna eesse’e gandum, ban pessena epamaso’ ka karongnga bang-sebang. Bariya keya sopaja tan-taretanna jareya esangowe se ekakana e jalan. Papakonna jareya ejalannagi kabbi.
Sesudah itu merekapun memuat gandum itu ke atas keledai mereka, lalu berangkat dari situ.	Saellana jareya tan-taretanna Yusup mowa’ gandum ollena melle jarowa ka hemarra, samarena pas padha mangkat dhari jadhiya.
Ketika seorang membuka karungnya untuk memberi makan keledainya di tempat bermalam, dilihatnyalah uangnya ada di dalam mulut karungnya.	E settong kennengngan reng-oreng jareya ambu, ngenebba. Sala settong e antarana badha se mokka’ karongnga gandumma, makanana hemarra, laju nemmo pessena e attasanna gandumma.
Katanya kepada saudara-saudaranya: "Uangku dikembalikan; lihat, ada dalam karungku!" Lalu hati mereka menjadi tawar dan mereka berpandang-pandangan dengan gemetar serta berkata: "Apakah juga yang diperbuat Allah terhadap kita!"	Tang pesse epabali, oca’na aera’ ka tan-taretanna. "Abas, ya, badha e tang karong!" Atena reng-oreng jareya arassa tako’. Kabbi padha saleng atanya sambi katako’an, "Epabaramma’a sengko’ reya bi’ Allah?"
Ketika mereka sampai kepada Yakub, ayah mereka, di tanah Kanaan, mereka menceritakan segala sesuatu yang dialaminya, katanya:	Sanapa’na ka Kana’an tan-taretanna Yusup jareya nyareta’agi ka eppa’na pa-apa se la ealame e Messer.
Orang itu, yakni yang menjadi tuan atas negeri itu, telah menegor kami dengan membentak dan memperlakukan kami sebagai pengintai negeri itu.	Oca’na, "Gubennor Messer ka’issa’ padhabuna ce’ kasarra ka kaula. Ponapa pole kaula sataretan paneka earane ata-matae nagarana.
Tetapi kata kami kepadanya: Kami orang jujur, kami bukan pengintai.	Kaula ampon mator, ‘Abdidalem oreng e-sae, banne ta-mata, abdidalem oreng jujur.
Kami dua belas orang bersaudara, anak-anak ayah kami; seorang sudah tidak ada lagi, dan yang bungsu ada sekarang pada ayah kami, di tanah Kanaan.	Abdidalem sataretan sadajana dhubellas, padha tonggal eppa’; se settong seda, dineng se bungso asarengnge eppa’ e Kana’an.’
Lalu kata orang itu, yakni yang menjadi tuan atas negeri itu, kepada kami: Dari hal ini aku akan tahu, apakah kamu orang jujur: dari kamu bersaudara haruslah kamu tinggalkan seorang padaku; kemudian bawalah gandum untuk meredakan lapar seisi rumahmu dan pergilah;	Gubennor ganeka adhabu, ‘Sengko’ terro abukteyagiya apa ba’na reya oreng jujur onggu. Sala settong e antarana ba’na kodu neng e dhinna’, ta’ olle mole; se laen olle mole ngeba gandum ka la-balana se kalaparan.
Dan Yakub, ayah mereka, berkata kepadanya: "Kamu membuat aku kehilangan anak-anakku: Yusuf tidak ada lagi, dan Simeon tidak ada lagi, sekarang Benyaminpun hendak kamu bawa juga. Aku inilah yang menanggung segala-galanya itu!"	Kone’e ale’na ba’na se bungso, giba dha’ enna’ ka sengko’. Buru sengko’ parcaja ja’ ba’na banne ta-mata, ja’ ba’na pajat oreng jujur. Taretanna ba’na se etahan bi’ sengko’ pas epabaliya ka ba’na, ban ba’na olle neng e nagara reya, olle adagang sakencengnga.’"
Lalu berkatalah Ruben kepada ayahnya: "Kedua anakku laki-laki boleh engkau bunuh, jika ia tidak kubawa kepadamu; serahkanlah dia ke dalam tanganku, maka dia akan kubawa kembali kepadamu."	Ruben laju mator ka eppa’na, "Manabi Benyamin ta’ ebakta abali sareng kaula, ana’ kaula se lalake’ kadhuwa pate’e sadaja. Diggal kaula se ajaga’a, tanto Benyamin abali ka sampeyan."
Tetapi jawabnya: "Anakku itu tidak akan pergi ke sana bersama-sama dengan kamu, sebab kakaknya telah mati dan hanya dialah yang tinggal; jika dia ditimpa kecelakaan di jalan yang akan kamu tempuh, maka tentulah kamu akan menyebabkan aku yang ubanan ini turun ke dunia orang mati karena dukacita."	Tape Yakub adhabu, "Enja’! Benyamin ta’ olle giba! Kaka’na la mate, sateya pera’ kare Benyamin malolo se ekaandhi’ sengko’. Sengko’ tako’ e dhalem parjalanan Benyamin pas nemmo calaka’. Sengko’ la towa; mon gi’ kodu nanggung kasossa’an se kantha jareya sengko’ tanto mate."
Tetapi hebat sekali kelaparan di negeri itu.	Kalaparan e Kana’an sajan sara.
Dan setelah gandum yang dibawa mereka dari Mesir habis dimakan, berkatalah ayah mereka: "Pergilah pula membeli sedikit bahan makanan untuk kita."	Saellana gandumma Yakub ban la-balana se ollena melle dhari Messer rowa la tadha’ kabbi, Yakub adhabu ka tra-pottrana, "Kassa’, ra, entar ka Messer pole, melle gandum."
Lalu Yehuda menjawabnya: "Orang itu telah memperingatkan kami dengan sungguh-sungguh: Kamu tidak boleh melihat mukaku, jika adikmu itu tidak ada bersama-sama dengan kamu.	Atorra Yehuda ka eppa’na, "Gubennor Messer ampon apareng parengeddan kerras ja’ kaula sataretan ta’ kengeng abali ngadhep ka salerana mon ta’ ngeba ale’.
Jika engkau mau membiarkan adik kami pergi bersama-sama dengan kami, maka kami mau pergi ke sana dan membeli bahan makanan bagimu.	Mon bi’ sampeyan ale’ eparengngagi noro’, kaula sataretan entara ka’assa’ pole ngobangana gandum.
Tetapi jika engkau tidak mau membiarkan dia pergi, maka kami tidak akan pergi ke sana, sebab orang itu telah berkata kepada kami: Kamu tidak boleh melihat mukaku, jika adikmu itu tidak ada bersama-sama dengan kamu."	Tape manabi Benyamin ta’ eparengngagi noro’, kaula ta’ entara, sabab gubennor ka’issa’ ampon adhabu ja’ kaula padha ta’ kengeng ngadhep ka ka’issa’ mon ale’ ta’ noro’."
Lalu berkatalah Israel: "Mengapa kamu mendatangkan malapetaka kepadaku dengan memberitahukan kepada orang itu, bahwa masih ada adikmu seorang?"	Dhabuna Yakub, "Arapa ba’na ma’ masossa sengko’, abala ka oreng jareya ja’ ba’na gi’ andhi’ ale’?"
Jawab mereka: "Orang itu telah menanyai kami dengan seksama tentang kami sendiri dan tentang sanak saudara kita: Masih hidupkah ayahmu? Adakah adikmu lagi? Dan kami telah memberitahukan semuanya kepadanya seperti yang sebenarnya. Bagaimana kami dapat menduga bahwa ia akan berkata: Bawalah ke mari adikmu itu."	Saodda tra-pottrana, "Oreng ka’issa’ ros-terrosan atanya parkara kaula sataretan, jugan parkara la-bala kaula, dhabuna, ‘Apa eppa’na ba’na gi’ odhi’? Apa ba’na ta’ andhi’ taretan lake’ laenna?’ Kaula sataretan tapaksa nyaot sabendherra. Dhari ka’imma kaula se onenga ja’ gubennor ganeka makona ngeba ale’ ka ka’assa’?"
Lalu berkatalah Yehuda kepada Israel, ayahnya: "Biarkanlah anak itu pergi bersama-sama dengan aku; maka kami akan bersiap dan pergi, supaya kita tetap hidup dan jangan mati, baik kami maupun engkau dan anak-anak kami.	Yehuda laju mator ka eppa’na, "Diggal, pona, Pa’, ale’ me’ olle noro’. Diggal kaula se nanggunga. Mon eparengngagi, kaula ban tan-taretan pas duliya mangkat, me’ olle padha tadha’ se mate kalaparan.
Akulah yang menanggung dia; engkau boleh menuntut dia dari padaku; jika aku tidak membawa dia kepadamu dan menempatkan dia di depanmu, maka akulah yang berdosa terhadap engkau untuk selama-lamanya.	Kaula dibi’ se daddi tanggunganna. Mon bi’ kaula ale’ ta’ ekenneng giba abali ka ka’dhinto e dhalem kabadha’an salamet ta’ korang pa-ponapa, kaula nanggunga okomanna saomorra.
Jika kita tidak berlambat-lambat, maka tentulah kami sekarang sudah dua kali pulang."	Ja’ sakenga ta’ abit parana se te’-nante’an, tantona kaula ban tan-taretan laenna ampon abali dhu kale dhari Messer."
Lalu Israel, ayah mereka, berkata kepadanya: "Jika demikian, perbuatlah begini: Ambillah hasil yang terbaik dari negeri ini dalam tempat gandummu dan bawalah kepada orang itu sebagai persembahan: sedikit balsam dan sedikit madu, damar dan damar ladan, buah kemiri dan buah badam.	Eppa’na laju adhabu, "Mon pajat kodu kantha jareya, ba’na ngeba hasella nagara reya se paleng bagus: kismis, maddu, palappa, komere ban buwana badam.
Dan bawalah uang dua kali lipat banyaknya: uang yang telah dikembalikan ke dalam mulut karung-karungmu itu haruslah kamu bawa kembali; mungkin itu suatu kekhilafan.	Ngeba keya pesse tekel dhuwa’, sabab pesse se etemmo e karongnga ba’na rowa kodu epabali. Pola jareya sakeng kalero.
Bawalah juga adikmu itu, bersiaplah dan kembalilah pula kepada orang itu.	La giba ale’na, tape duli abali, ya.
Allah Yang Mahakuasa kiranya membuat orang itu menaruh belas kasihan kepadamu, supaya ia membiarkan saudaramu yang lain itu beserta Benyamin kembali. Mengenai aku ini, jika terpaksa aku kehilangan anak-anakku, biarlah juga kehilangan!"	Moga-moga bi’ Allah Se Mahakobasa gubennor jareya eparengngana neser ka ba’na, sopaja Benyamin ban Simeyon epabaliya ka ba’na. Dineng sengko’ reya, mon pajat la kodu kaelangan tang na’-ana’, dhu baramma’a pole."
Lalu orang-orang itu mengambil persembahan itu dan mengambil uang dua kali lipat banyaknya, beserta Benyamin juga; mereka bersiap dan pergi ke Mesir. Kemudian berdirilah mereka di depan Yusuf.	Daddi tan-taretanna Yusup jareya ngeba tor-ator jareya ban pesse se bannya’na tekel dhuwa’na; saellana laju mangkat ka Messer abareng Benyamin. Sanapa’na ka jadhiya laju ngadhep ka Yusup.
Ketika Yusuf melihat Benyamin bersama-sama dengan mereka, berkatalah ia kepada kepala rumahnya: "Bawalah orang-orang ini ke dalam rumah, sembelihlah seekor hewan dan siapkanlah itu, sebab orang-orang ini akan makan bersama-sama dengan aku pada tengah hari ini."	E bakto Yusup ngoladi Benyamin abareng ban tan-taretanna jareya, laju adhabu ka kabulana se ngapalae orosanna compo’na, "Giba reng-oreng reya ka tang bengko. Bi’ sengko’ epangakana abareng ban sengko’ dhaggi’ ban-aban. Daddi sambelli ebin settong, terros paranta."
Orang itu melakukan seperti yang dikatakan Yusuf dan dibawanyalah orang-orang itu ke dalam rumah Yusuf.	Kabula gella’ ajalannagi apa se edhabuwagi Yusup, pas ngeba tan-taretanna Yusup jareya ka kalenggiyanna gubennor.
Lalu ketakutanlah orang-orang itu, karena mereka dibawa ke dalam rumah Yusuf. Kata mereka: "Yang menjadi sebab kita dibawa ke sini, ialah perkara uang yang dikembalikan ke dalam karung kita pada mulanya itu, supaya kita disergap dan ditangkap dan supaya kita dijadikan budak dan keledai kita diambil."	E bakto egiba ka kalenggiyanna Yusup, tan-taretanna padha katako’an ban apekker, "Sengko’ sataretan reya egiba dha’ enna’ kabbi polana pesse se etemmo badha e dhalem karong e bakto entar dha’ enna’ se jang adha’an rowa. Sengko’ sataretan kabbi tanto pas ejebbak daksakala; mar-hemar rowa tanto ekala’, dineng sengko’ sataretan tanto laju padha ekagabay dunor kabbi."
Karena itu mereka mendekati kepala rumah Yusuf itu, dan berkata kepadanya di depan pintu rumah:	Daddi, sanapa’na ka labangnga kalenggiyanna Yusup, tan-taretanna jareya atanya ka oreng se ngapalae orosan compo’na Yusup gella’,
Mohon bicara tuan! Kami dahulu datang ke mari untuk membeli bahan makanan, tetapi ketika kami sampai ke tempat bermalam dan membuka karung kami, tampaklah uang kami masing-masing dengan tidak kurang jumlahnya ada di dalam mulut karung. Tetapi sekarang kami membawanya kembali. Uang lain kami bawa juga ke mari untuk membeli bahan makanan; kami tidak tahu siapa yang menaruh uang kami itu ke dalam karung kami.	Ta’ langkong, guste. Kaula sataretan paneka gi’ dhimen oneng entar ka’anja ngobangana gandum. E bakto palemana e tengnga lorong kaula sadaja ambu, kelemma. E bakto mokka’ karong baddhana gandum ka’issa’, neng-oneng kaula sataretan padha manggi pesse se epamajar gandum padha badha e attassa gandumma bang-sebang. Kaula padha ta’ oneng pasera se nyaba’ pesse ganeka. Samangken pesse ganeka bi’ kaula ebakta sadaja, ebajarragiya ka sampeyan. Laen dhari pesse ganeka, kaula jugan abakta pesse terro ngobangana gandum pole.
Tetapi jawabnya: "Tenang sajalah, jangan takut; Allahmu dan Allah bapamu telah memberikan kepadamu harta terpendam dalam karungmu; uangmu itu telah kuterima." Kemudian dikeluarkannyalah Simeon dan dibawanya kepada mereka.	Kabulana Yusup jareya ngoca’, "Ampon ta’ osa tako’. Ja’ kobater. Allahna sampeyan, Allah se epojja eppa’na sampeyan, ganeka se nyaba’ pesse ganeka e dhalem karongnga sampeyan. Kaula ampon narema pessena sampeyan se ekabajar gandum ka’issa’." Saellana jareya Simeyon epakalowar, pas egiba ka tan-taretanna;
Setelah orang itu membawa mereka ke dalam rumah Yusuf, diberikannyalah air, supaya mereka membasuh kaki; juga keledai mereka diberinya makan.	samarena, kabbi laju padha egiba ka dhalem bengko jareya. Reng-oreng jareya eberri’i aeng baccona soko; mar-hemarra eberri’i pakan.
Sesudah itu mereka menyiapkan persembahannya menantikan Yusuf datang pada waktu tengah hari, sebab mereka telah mendengar, bahwa mereka akan makan di situ.	Saellana jareya, tan-taretanna Yusup nyadhiya’agi le-ollena se eatorragiya ka Yusup mon rabu e baja beddhuk, sabab reng-oreng jareya ebalai ja’ epangakana abareng ban Yusup.
Ketika Yusuf telah pulang, mereka membawa persembahan yang ada pada mereka itu kepada Yusuf di dalam rumah, lalu sujud kepadanya sampai ke tanah.	E bakto Yusup napa’ ka bengko jareya, tan-taretanna ngatorragi le-ollena sambi asojud e adha’anna.
Sesudah itu ia bertanya kepada mereka apakah mereka selamat; lagi katanya: "Apakah ayahmu yang tua yang kamu sebutkan itu selamat? Masih hidupkah ia?"	Yusup mareksane parkara kabadha’anna tan-taretanna jareya, pas adhabu, "Ba’na la nyareta’agi ka sengko’ parkara eppa’na se la towa rowa. Baramma kabadha’anna sateya? Apa gi’ odhi’? Ban baras?"
Jawab mereka: "Hambamu, ayah kami, ada selamat; ia masih hidup." Sesudah itu berlututlah mereka dan sujud.	Saodda tan-taretanna, "Abdiepon junandalem, eppa’ abdidalem, gi’ odhi’ sareng baras." Tan-taretanna jareya laju asojud e adha’na Yusup.
Ketika Yusuf memandang kepada mereka, dilihatnyalah Benyamin, adiknya, yang seibu dengan dia, lalu katanya: "Inikah adikmu yang bungsu itu, yang telah kamu sebut-sebut kepadaku?" Lagi katanya: "Allah kiranya memberikan kasih karunia kepadamu, anakku!"	E bakto ngoladi Benyamin, ale’na, Yusup adhabu, "Daddi reya ale’na ba’na se bungso se ecareta’agi ba’na rowa? Moga-moga Allah aberkadana ba’na, Na’."
Lalu segeralah Yusuf pergi dari situ, sebab hatinya sangat terharu merindukan adiknya itu, dan dicarinyalah tempat untuk menangis; ia masuk ke dalam kamar, lalu menangis di situ.	Panggaliyanna Yusup arassa seksek polana kerrong ka ale’na, sampe’ para’ ta’ kowada ngampet, daddi laju duli nyengga daksakala, maso’ ka kamarra pas molar e jadhiya.
Sesudah itu dibasuhnyalah mukanya dan ia tampil ke luar. Ia menahan hatinya dan berkata: "Hidangkanlah makanan."	Saellana jareya laju araop, pas kalowar pole; panggaliyanna ewat-kowattagi, sarta laju makon sopaja dha’arra eparanta.
Lalu dihidangkanlah makanan, bagi Yusuf tersendiri, bagi saudara-saudaranya tersendiri dan bagi orang-orang Mesir yang bersama-sama makan dengan mereka itu tersendiri; sebab orang Mesir tidak boleh makan bersama-sama dengan orang Ibrani, karena hal itu suatu kekejian bagi orang Mesir.	Yusup epadha’ar e meja settong, dineng tan-taretanna e meja laen. Reng-oreng Messer se badha e jadhiya ngakan e meja laenna pole, sabab oreng Messer apangrasa apes mon ngakan apolong ban oreng Ibrani.
Saudara-saudaranya itu duduk di depan Yusuf, dari yang sulung sampai yang bungsu, sehingga mereka berpandang-pandangan dengan heran.	Tan-taretanna se toju’ padha ngadhep ka Yusup, epajajar menorot gilirra omorra molae dhari se paleng towa sampe’ ka se paleng ngodha. E bakto nangale’e katoju’anna se egilir menorot omorra jareya, tan-taretanna Yusup padha saleng pandeng kaheranan.
Lalu disajikan kepada mereka hidangan dari meja Yusuf, tetapi yang diterima Benyamin adalah lima kali lebih banyak dari pada setiap orang yang lain. Lalu minumlah mereka dan bersukaria bersama-sama dengan dia.	Tan-taretanna jareya engala’agi kakanan dhari mejana Yusup. Benyamin eberri’i lema kalena ka’-kaka’na. Reng-oreng jareya laju padha ngakan abareng sampe’ kennyang.
Sesudah itu diperintahkannyalah kepada kepala rumahnya: "Isilah karung orang-orang itu dengan gandum, seberapa yang dapat dibawa mereka, dan letakkanlah uang masing-masing di dalam mulut karungnya.	Sabatara jareya Yusup adhabu ka kabulana se ngoros kaparlowanna compo’na, "Karongnga reng-oreng rowa esse’e bi’ gandum pa ce’ possa’na; mon gi’ kellara se ngeba tambai pole. Pessena pamaso’ ka karongnga bang-sebang, saba’ e attassa gandumma.
Dan pialaku, piala perak itu, taruhlah di dalam mulut karung anak yang bungsu serta uang pembayar gandumnya juga." Maka diperbuatnyalah seperti yang dikatakan Yusuf.	Tang piala salaka rowa pamaso’ keya ka karongnga kana’ se bungso, papolong ban pessena gandumma." Kabulana jareya ajalannagi papakon buru.
Ketika paginya hari terang tanah, orang melepas mereka beserta keledai mereka.	Kalagguwanna teng-petteng tan-taretanna Yusup jareya mangkat moleya ngeba hemarra bang-sebang.
Tetapi baru saja mereka keluar dari kota itu, belum lagi jauh jaraknya, berkatalah Yusuf kepada kepala rumahnya: "Bersiaplah, kejarlah orang-orang itu, dan apabila engkau sampai kepada mereka, katakanlah kepada mereka: Mengapa kamu membalas yang baik dengan yang jahat?	Gi’ ta’ jau dhari kottha, Yusup adhabu ka kapalana kabula se ngoros kaparlowanna compo’na, "Duli serser reng-oreng rowa. Mon la ecapo’ koca’ kantha reya, ‘Arapa ba’na me’ males kabecce’an ban kajuba’an?
Bukankah ini piala yang dipakai tuanku untuk minum dan yang biasa dipakainya untuk menelaah? Kamu berbuat jahat dengan melakukan yang demikian."	Arapa ba’na me’ ngeco’ piala salakana tang lora?’ Piala jareya eagem mon adha’ar nom-enoman, bariya keya eagem mon anojum. Ba’na reya ce’ darakana onggu."
Ketika sampai kepada mereka, diberitakannyalah kepada mereka perkataan Yusuf itu.	E bakto tan-taretanna Yusup se eserser jareya la ecapo’, kabulana Yusup gella’ laju ngoca’agi pa-apa se edhabuwagi lorana.
Jawab mereka kepadanya: "Mengapa tuanku mengatakan perkataan yang demikian? Jauhlah dari pada hamba-hambamu ini untuk berbuat begitu!	Saodda tan-taretanna Yusup, "Ponapa maksodda sampeyan adhabu sapaneka? Kaula padha asompa’a ja’ kaula padha ta’ atengka kadi ganeka!
Bukankah uang yang kami dapati di dalam mulut karung kami telah kami bawa kembali kepadamu dari tanah Kanaan? Masakan kami mencuri emas atau perak dari rumah tuanmu?	Sampeyan dibi’ ampon oneng ja’ pesse se etemmo badha e dhalem karong e attassa gandum kaula bang-sebang, ebakta abali dhari Kana’an, epabaliya ka sampeyan. Daddi aponapa’a kaula me’ ngeco’a piala salaka e compo’na lorana sampeyan?
Pada siapa dari hamba-hambamu ini kedapatan piala itu, biarlah ia mati, juga kami ini akan menjadi budak tuanku."	Mon pajat badha e antarana kaula sataretan paneka se ngerrep piala ganeka, eatore okom mate; se laen badhi dunorra sampeyan."
Sesudah itu berkatalah ia: "Ya, usulmu itu baik; tetapi pada siapa kedapatan piala itu, hanya dialah yang akan menjadi budakku dan kamu yang lain itu akan bebas dari salah."	Ca’na kabulana Yusup gella’, "Iya, mara. Tape se kodu daddi tang dunor coma se etemmo ngeco’ piala jarowa; se laenna olle mole."
Lalu segeralah mereka masing-masing menurunkan karungnya ke tanah dan masing-masing membuka karungnya.	Tan-taretanna Yusup jareya laju padha matoron sarta mokka’ karongnga bang-sebang.
Dan kepala rumah itu memeriksanya dengan teliti; ia mulai dengan yang sulung sampai kepada yang bungsu; maka kedapatanlah piala itu dalam karung Benyamin.	Bi’ kabulana Yusup rong-karong jareya epareksa epatete, molae dhari karong andhi’na se sareyang sampe’ ka andhi’na se bungso, ban piala jareya etemmo e dhalem karongnga Benyamin.
Lalu mereka mengoyakkan jubahnya dan masing-masing memuati keledainya, dan mereka kembali ke kota.	Tan-taretanna padha sossa, sampe’ padha nyebbit kalambina bang-sebang. Buwadanna epaongga pole ka hemarra bang-sebang, saellana jareya laju padha abali ka kottha.
Ketika Yehuda dan saudara-saudaranya sampai ke dalam rumah Yusuf, Yusuf masih ada di situ, sujudlah mereka sampai ke tanah di depannya.	E bakto Yehuda ban tan-taretanna napa’ ka compo’na Yusup, Yusup gi’ badha e jadhiya, kabbi laju padha asojud e ajunanna.
Berkatalah Yusuf kepada mereka: "Perbuatan apakah yang kamu lakukan ini? Tidakkah kamu tahu, bahwa seorang yang seperti aku ini pasti dapat menelaah?"	Dhabuna Yusup, "Ba’na me’ atengka kantha jareya? Apa ba’na ta’ tao ja’ oreng kantha sengko’ reya bisa tao ka sabarang tengkana ba’na kalaban elmo nojum?"
Sesudah itu berkatalah Yehuda: "Apakah yang akan kami katakan kepada tuanku, apakah yang akan kami jawab, dan dengan apakah kami akan membenarkan diri kami? Allah telah memperlihatkan kesalahan hamba-hambamu ini. Maka kami ini, budak tuankulah kami, baik kami maupun orang pada siapa kedapatan piala itu."	Dhu matora ponapa pole abdidalem, guste? saodda Yehuda. "Kadi ponapa abdidalem sataretan ka’dhinto se kengenga alaban sareng noduwagiya ja’ abdidalem padha ta’ sala? Allah ampon mokka’ kasala’an abdidalem sataretanan. Samangken ka’dhinto abdidalem sataretan sadajana daddi dunorra junandalem; banne namong ale’ se e dhalem karongnga epanggi badha pialana ka’dhissa’."
Tetapi jawabnya: "Jauhlah dari padaku untuk berbuat demikian! Pada siapa kedapatan piala itu, dialah yang akan menjadi budakku, tetapi kamu ini, pergilah kembali dengan selamat kepada ayahmu."	Dhabuna Yusup, "Enja’! Sengko’ ta’ amaksod kantha jareya! Pera’ oreng se e dhalem karongnga etemmo badha tang piala jareya se daddiya tang dunor. Se laen olle mole sakarebba ka eppa’na."
Lalu tampillah Yehuda mendekatinya dan berkata: "Mohon bicara tuanku, izinkanlah kiranya hambamu ini mengucapkan sepatah kata kepada tuanku dan janganlah kiranya bangkit amarahmu terhadap hambamu ini, sebab tuanku adalah seperti Firaun sendiri.	Yehuda nyander ka adha’ ka seddi’na Yusup. "Ta’ langkong, guste; abdidalem nyo’ona edi tor-matora. Ja’ duka, guste; junandalem padha sareng rato Messer dibi’.
Tuanku telah bertanya kepada hamba-hambanya ini: Masih adakah ayah atau saudara kamu?	Junandalem oneng mareksane ka abdidalem sataretan ka’dhinto, ‘Apa ba’na gi’ andhi’ eppa’ ban taretan laenna?’
Dan kami menjawab tuanku: Kami masih mempunyai ayah yang tua dan masih ada anaknya yang muda, yang lahir pada masa tuanya; kakaknya telah mati, hanya dia sendirilah yang tinggal dari mereka yang seibu, sebab itu ayahnya sangat mengasihi dia.	Abdidalem nyaot, ‘Eppa’ ampon seppo, dineng ale’ lahir e bakto eppa’ ampon seppo. Ale’ gapaneka gadhuwan kaka’ tonggal ebu, namong ampon seda. Daddi samangken ka’dhinto pottrana ebuna kana’ se kadhuwa gapaneka namong kare settong, ban eppa’ ce’ neserra ka ale’ se settong gapaneka.’
Lalu tuanku berkata kepada hamba-hambamu ini: Bawalah dia ke mari kepadaku, supaya mataku memandang dia.	Sareng junandalem abdidalem sataretan epakon abakta ale’ gapaneka ka ka’dhinto, polana junandalem terro ngoladana;
Tetapi jawab kami kepada tuanku: Anak itu tidak dapat meninggalkan ayahnya, sebab jika ia meninggalkan ayahnya, tentulah ayah ini mati.	abdidalem laju mator ja’ kana’ gapaneka ta’ kengeng apesa dhari eppa’na; manabi apesa dhari eppa’na, eppa’na tanto seda.
Kemudian tuanku berkata kepada hamba-hambamu ini: Jika adikmu yang bungsu itu tidak datang ke mari bersama-sama dengan kamu, kamu tidak boleh melihat mukaku lagi.	Junandalem laju adhabu, ‘Ba’na ta’ olle ngadhep sengko’ pole mon ale’na ta’ egiba.’
Setelah kami kembali kepada hambamu, ayahku, maka kami memberitahukan kepadanya perkataan tuanku itu.	Sanapa’na ka compo’ abdidalem manapa’ dhabuna junandalem ka eppa’.
Kemudian ayah kami berkata: Kembalilah kamu membeli sedikit bahan makanan bagi kita.	Saamponnepon eppa’ laju makon abdidalem sataretan nyabis pole ka ka’dhinto pole, ngobangana teddha’an.
Tetapi jawab kami: Kami tidak dapat pergi ke sana. Jika adik kami yang bungsu bersama-sama dengan kami, barulah kami akan pergi ke sana, sebab kami tidak boleh melihat muka orang itu, apabila adik kami yang bungsu tidak bersama-sama dengan kami.	Abdidalem mator, ‘Ta’ kengeng, Pa’. Kaula ta’ eedine ngadhep mon ale’ ta’ noro’. Kaula coma ngenneng entar ka’assa’ mon ale’ noro’.’
Kemudian berkatalah hambamu, ayahku, kepada kami: Kamu tahu, bahwa isteriku telah melahirkan dua orang anak bagiku;	Eppa’ laju adhabu, ‘Ba’na tao ja’ Rahel, tang bine, pera’ andhi’ ana’ dhadhuwa’.
yang seorang telah pergi dari padaku, dan aku telah berkata: Tentulah ia diterkam oleh binatang buas, dan sampai sekarang aku tidak melihat dia kembali.	Se sareyang la tadha’. Tantona ebit-sebbit burun alas, sabab sampe’ sateya sengko’ ta’ tao nangale’e pole kana’ jareya.
Jika anak ini kamu ambil pula dari padaku, dan ia ditimpa kecelakaan, maka tentulah kamu akan menyebabkan aku yang ubanan ini turun ke dunia orang mati karena nasib celaka.	Mon se bungso reya egiba keya bi’ ba’na, ban e jalan pas badha pa-apa, sengko’ tanto mate polana kasossa’an se epadhateng ba’na jareya, sabab sengko’ la towa.’"
Maka sekarang, apabila aku datang kepada hambamu, ayahku, dan tidak ada bersama-sama dengan kami anak itu, padahal ayahku tidak dapat hidup tanpa dia,	Daddi, guste, atorra Yehuda ka Yusup, "manabi abdidalem paleman ka eppa’ ta’ abakta ale’, tanto eppa’ pas seda. Nyabana agantong ka kana’ ka’dhinto. Eppa’ ampon ce’ seppona, daddi manabi abdidalem ngeba kasossa’an ka’dhinto tanto andaddiyagi talajana eppa’.
Tetapi hambamu ini telah menanggung anak itu terhadap ayahku dengan perkataan: Jika aku tidak membawanya kembali kepada bapa, maka akulah yang berdosa kepada bapa untuk selama-lamanya.	Laen dhari ka’dhinto abdidalem ampon ajanji ka eppa’ ja’ abdidalem daddi tanggunganna ale’. Abdidalem mator ka eppa’, manabi abdidalem ta’ abakta ale’ paleman ka eppa’, abdidalem se nanggunga okomanna saomorra.
Oleh sebab itu, baiklah hambamu ini tinggal menjadi budak tuanku menggantikan anak itu, dan biarlah anak itu pulang bersama-sama dengan saudara-saudaranya.	Daddi, abdidalem nyo’ona, guste, dinggal abdidalem cekka’a e ka’dhinto daddiya dunorra junandalem aganteya ale’; dinggal ale’ me’ olle paleman sareng ka’-kaka’na.
Sebab masakan aku pulang kepada ayahku, apabila anak itu tidak bersama-sama dengan aku? Aku tidak akan sanggup melihat nasib celaka yang akan menimpa ayahku."	Kadi ponapa abdidalem se abaliya ka eppa’ manabi ale’ ta’ noro’ paleman? Abdidalem ta’ kowat dhaggi’ nengalana mosiba se etanggunga eppa’."
Ketika itu Yusuf tidak dapat menahan hatinya lagi di depan semua orang yang berdiri di dekatnya, lalu berserulah ia: "Suruhlah keluar semua orang dari sini." Maka tidak ada seorangpun yang tinggal di situ bersama-sama Yusuf, ketika ia memperkenalkan dirinya kepada saudara-saudaranya.	Yusup ta’ kowat pole ngampet panggaliyanna e adha’na ba-ponggabana. Daddi laju epakon nyengla kabbi dhari jadhiya, sopaja salerana ngennenga notorragi ka tan-taretanna sapa salerana se sabendherra.
